"species","year","cell","juv_mean","juv_sd"
"Catharus_fuscescens",1991,622,198.939333333333,4.01011218324075
"Catharus_fuscescens",1992,594,198.46,3.25722298647134
"Catharus_fuscescens",1992,595,204.654833333333,7.52534374222392
"Catharus_fuscescens",1992,622,199.124,4.37505971668815
"Catharus_fuscescens",1993,594,201.919166666667,7.5278645110176
"Catharus_fuscescens",1993,595,200.273333333333,4.72553460839209
"Catharus_fuscescens",1993,622,198.182333333333,5.67386875832267
"Catharus_fuscescens",1994,594,200.715333333333,4.83699606960613
"Catharus_fuscescens",1994,595,196.812666666667,4.21977969160277
"Catharus_fuscescens",1994,622,195.992666666667,2.48521808708591
"Catharus_fuscescens",1995,508,207.022666666667,2.29841249682394
"Catharus_fuscescens",1995,594,193.698666666667,7.77478441937032
"Catharus_fuscescens",1995,595,194.959333333333,4.50193189501501
"Catharus_fuscescens",1995,622,197.078833333333,4.64103528396126
"Catharus_fuscescens",1996,595,194.964833333333,5.45489590066606
"Catharus_fuscescens",1996,621,203.414666666667,2.9979241952506
"Catharus_fuscescens",1996,622,201.776666666667,3.54192223108734
"Catharus_fuscescens",1997,508,207.326833333333,1.48348017326139
"Catharus_fuscescens",1997,567,201.361666666667,4.84080944969368
"Catharus_fuscescens",1997,594,197.741333333333,6.76858383834844
"Catharus_fuscescens",1997,621,199.683833333333,8.97243683414263
"Catharus_fuscescens",1997,622,200.414666666667,2.14891162973747
"Catharus_fuscescens",1998,508,197.879833333333,8.77571813834607
"Catharus_fuscescens",1998,595,197.4245,5.89692818708808
"Catharus_fuscescens",1998,622,202.916833333333,3.14508588644164
"Catharus_fuscescens",1999,595,198.6065,8.9408788327761
"Catharus_fuscescens",1999,622,195.794,3.4890676307798
"Catharus_fuscescens",2000,621,196.980666666667,8.04272386218807
"Catharus_fuscescens",2000,622,199.156833333333,3.46769483328599
"Catharus_fuscescens",2001,567,201.5855,4.05180115488982
"Catharus_fuscescens",2001,622,198.273833333333,4.73834612069959
"Catharus_fuscescens",2002,622,201.7005,4.09596499474866
"Catharus_fuscescens",2003,622,194.274666666667,3.83484148613206
"Catharus_fuscescens",2004,567,199.1095,9.38144507358069
"Catharus_fuscescens",2004,595,196.918333333333,5.43030802653951
"Catharus_fuscescens",2004,622,191.518666666667,5.35659410499089
"Catharus_fuscescens",2005,595,189.4285,8.09259761176952
"Catharus_fuscescens",2005,622,195.0385,2.29184638300808
"Catharus_fuscescens",2006,564,205.968166666667,2.81818091378689
"Catharus_fuscescens",2006,595,194.219,5.10287947109108
"Catharus_fuscescens",2007,564,198.075166666667,8.45983321950887
"Catharus_fuscescens",2007,622,197.436833333333,2.97525662717607
"Catharus_fuscescens",2008,595,197.897,5.55729594824462
"Catharus_fuscescens",2008,621,188.687333333333,5.90745765098703
"Catharus_fuscescens",2008,622,196.17,2.96550710200836
"Catharus_fuscescens",2009,595,192.953666666667,5.62047905903323
"Catharus_fuscescens",2009,622,189.071833333333,6.61654263279729
"Catharus_fuscescens",2010,622,193.461166666667,3.04554940868732
"Catharus_fuscescens",2011,567,189.901,8.62598401729977
"Catharus_fuscescens",2011,622,190.579166666667,2.32865549440534
"Catharus_fuscescens",2012,622,194.435166666667,3.65276430758086
"Catharus_fuscescens",2013,567,188.278,4.20305368472885
"Catharus_fuscescens",2013,621,198.624833333333,9.00173623149552
"Catharus_fuscescens",2015,567,195.83,4.20163170107661
"Catharus_fuscescens",2016,567,197.028666666667,3.57863744972231
"Catharus_guttatus",1996,568,189.573666666667,6.42433798731964
"Catharus_guttatus",1998,568,189.133666666667,2.30022065421238
"Catharus_guttatus",1999,568,193.123833333333,5.91985411568681
"Catharus_guttatus",2000,568,186.451333333333,4.80570640224303
"Catharus_guttatus",2001,568,186.559333333333,6.95472555821967
"Catharus_guttatus",2001,738,185.1175,8.44759851891586
"Catharus_guttatus",2002,568,203.567333333333,5.04034063609232
"Catharus_guttatus",2006,564,191.182833333333,3.84727681553738
"Catharus_guttatus",2006,568,177.847833333333,8.45909400295213
"Catharus_guttatus",2007,564,195.458666666667,7.8781534917324
"Catharus_guttatus",2007,568,172.084666666667,8.45620577593223
"Dumetella_carolinensis",1990,562,195.751833333333,4.09406564853056
"Dumetella_carolinensis",1990,591,191.550666666667,4.99629129555185
"Dumetella_carolinensis",1991,562,190.7905,5.21943325441082
"Dumetella_carolinensis",1991,591,185.053666666667,2.42654100297016
"Dumetella_carolinensis",1991,594,195.92,5.28102719251044
"Dumetella_carolinensis",1992,591,188.343166666667,3.87890589694849
"Dumetella_carolinensis",1992,594,200.524333333333,5.00192407275712
"Dumetella_carolinensis",1992,619,193.991666666667,5.9906520408217
"Dumetella_carolinensis",1993,562,194.716166666667,4.47045144568684
"Dumetella_carolinensis",1993,591,187.284333333333,2.82703966151229
"Dumetella_carolinensis",1993,594,191.0545,6.41038573391203
"Dumetella_carolinensis",1993,619,190.723333333333,2.92561368345054
"Dumetella_carolinensis",1993,646,183.0495,5.79332750014365
"Dumetella_carolinensis",1994,533,192.345333333333,2.80702537468603
"Dumetella_carolinensis",1994,562,196.146333333333,6.29273546577024
"Dumetella_carolinensis",1994,591,188.412166666667,3.25802410862846
"Dumetella_carolinensis",1994,594,192.237666666667,4.36073585821167
"Dumetella_carolinensis",1994,615,198.454166666667,4.10597643433351
"Dumetella_carolinensis",1994,619,190.995333333333,2.71075689111166
"Dumetella_carolinensis",1994,643,186.894166666667,6.41613802143267
"Dumetella_carolinensis",1994,646,188.391666666667,3.99915775708043
"Dumetella_carolinensis",1995,533,204.118333333333,2.05232369790498
"Dumetella_carolinensis",1995,562,197.599333333333,4.26331195907192
"Dumetella_carolinensis",1995,591,189.149,1.60495949559392
"Dumetella_carolinensis",1995,594,198.947166666667,4.27411823108944
"Dumetella_carolinensis",1995,619,189.082333333333,2.49584843933432
"Dumetella_carolinensis",1995,643,197.615833333333,9.72865306302089
"Dumetella_carolinensis",1995,646,197.296,5.74191131862308
"Dumetella_carolinensis",1996,591,201.019166666667,3.040669923633
"Dumetella_carolinensis",1996,594,196.174,9.54738617443507
"Dumetella_carolinensis",1996,615,197.432166666667,3.19933919230729
"Dumetella_carolinensis",1996,619,198.516833333333,2.65208513528815
"Dumetella_carolinensis",1996,646,195.9655,4.40989995573633
"Dumetella_carolinensis",1996,675,197.372833333333,4.92705536989304
"Dumetella_carolinensis",1997,589,193.554833333333,5.00241581633869
"Dumetella_carolinensis",1997,591,193.559,1.84943840225458
"Dumetella_carolinensis",1997,594,197.442666666667,4.746978181524
"Dumetella_carolinensis",1997,615,194.024,5.43191264158623
"Dumetella_carolinensis",1997,619,199.024833333333,3.89012495312349
"Dumetella_carolinensis",1997,646,196.061,4.47965291233996
"Dumetella_carolinensis",1997,647,195.7455,4.13472035355077
"Dumetella_carolinensis",1998,591,189.650166666667,2.6340601773166
"Dumetella_carolinensis",1998,615,194.209333333333,3.71476506239632
"Dumetella_carolinensis",1998,616,185.321333333333,7.05334694827576
"Dumetella_carolinensis",1998,619,199.921166666667,4.07848717645366
"Dumetella_carolinensis",1998,620,192.477166666667,6.39408263065705
"Dumetella_carolinensis",1998,646,194.594166666667,3.9947622782629
"Dumetella_carolinensis",1998,647,188.704833333333,4.89673765332558
"Dumetella_carolinensis",1999,534,194.747833333333,4.03773400001346
"Dumetella_carolinensis",1999,567,193.794,4.59837886448731
"Dumetella_carolinensis",1999,591,185.673833333333,2.00975665836933
"Dumetella_carolinensis",1999,615,197.402666666667,4.31141402991854
"Dumetella_carolinensis",1999,619,192.075,3.03670522053635
"Dumetella_carolinensis",1999,646,183.293166666667,3.45435117823391
"Dumetella_carolinensis",1999,647,189.092166666667,4.06506573527755
"Dumetella_carolinensis",2000,534,193.7865,2.68783465994343
"Dumetella_carolinensis",2000,567,195.816333333333,3.65187019414364
"Dumetella_carolinensis",2000,591,184.791333333333,1.64638289946907
"Dumetella_carolinensis",2000,615,197.641333333333,2.33322356642565
"Dumetella_carolinensis",2000,619,190.7955,2.89051418644567
"Dumetella_carolinensis",2000,646,189.262166666667,3.79189904778863
"Dumetella_carolinensis",2000,647,179.8495,7.44849625311974
"Dumetella_carolinensis",2001,534,191.275,3.66387031124323
"Dumetella_carolinensis",2001,567,200.318666666667,4.12968448405911
