"cell","Year","Name","sampling_weeks"
"564",2018,"Sault College",9
"564",2019,"Sault College",6
"568",2015,"Acadia NP - Sundew",1
"568",2017,"Acadia NP - Alder",4
"568",2017,"Acadia NP - Sundew",3
"568",2018,"Acadia NP - Alder",16
"568",2018,"Acadia NP - Sundew",14
"568",2019,"Acadia NP - Alder",13
"568",2019,"Acadia NP - Sundew",13
"591",2017,"Kalamazoo Nature Center",1
"591",2018,"Kalamazoo Nature Center",12
"591",2019,"Kalamazoo Nature Center",4
"591",2019,"Potter Park Zoo",7
"592",2018,"Stage Nature Center",10
"592",2019,"Stage Nature Center",8
"593",2018,"Beare Swamp in Rouge Park",6
"593",2018,"RVCC",11
"593",2019,"Beare Swamp in Rouge Park",10
"593",2019,"RVCC",11
"593",2019,"Wye Marsh Wildlife Centre",2
"594",2019,"Forest Park Camden NY",1
"595",2018,"Mass Audubon's Boston Nature Center",9
"595",2018,"Mass Audubon's Broadmoor Wildlife Sanctuary",9
"595",2018,"Mt. Auburn Cemetery",11
"595",2018,"Museum of American Bird Art",14
"595",2018,"Wellesley College",6
"595",2019,"EwA at Fresh Pond",10
"595",2019,"EwA at Habitat",9
"595",2019,"EwA at the Fells",12
"595",2019,"EwA at the Growing Center",8
"595",2019,"Mass Audubon's Boston Nature Center",12
"595",2019,"Mass Audubon's Broadmoor Wildlife Sanctuary",6
"595",2019,"Mt. Auburn Cemetery",8
"595",2019,"Museum of American Bird Art",14
"621",2017,"Wild Spirit Education",2
"622",2017,"Environmental Sciences Magnet School",7
"622",2017,"Mataniuck State Park",6
"622",2018,"The Children's Museum",8
"645",2019,"Backyard",1
"645",2019,"Litzsinger Road Ecology Center Woodland Site A",12
"645",2019,"Litzsinger Road Ecology Center Woodland Site B",13
"648",2019,"University of Pittsburgh",10
"649",2019,"Camp Woods Survey",14
"649",2019,"Crossways Survey",14
"649",2019,"Oregon Ridge Nature Center",15
"649",2019,"Schuylkill Center",6
"673",2019,"Discovery Center at Murfree Spring",4
"674",2018,"Ijams Nature Center",7
"674",2019,"Ijams Nature Center",13
"674",2019,"Seven Islands State Birding Park",9
"674",2019,"Zoo Knoxville",1
"675",2010,"BBS 88-900-09",1
"675",2010,"BBS 88-900-29",1
"675",2010,"BBS 88-902-23",1
"675",2010,"BBS 88-902-36",2
"675",2010,"BBS 88-905-17",2
"675",2010,"BBS 88-905-38",1
"675",2010,"BBS 88-920-25",1
"675",2010,"BBS 88-920-36",2
"675",2010,"BBS 88-922-42",2
"675",2011,"BBS 88-900-09",5
"675",2011,"BBS 88-900-29",5
"675",2011,"BBS 88-902-23",5
"675",2011,"BBS 88-902-36",5
"675",2011,"BBS 88-920-25",5
"675",2011,"BBS 88-920-36",5
"675",2012,"BBS 88-900-09",4
"675",2012,"BBS 88-900-29",4
"675",2012,"BBS 88-902-36",4
"675",2012,"BBS 88-920-25",4
"675",2012,"BBS 88-920-36",4
"676",2010,"BBS 88-907-21",1
"676",2010,"BBS 88-907-45",1
"676",2010,"BBS 88-921-12",1
"676",2010,"BBS 88-921-30",2
"676",2010,"BBS 88-922-17",1
"676",2010,"BBS 88-923-05",1
"676",2010,"BBS 88-923-46",1
"676",2018,"Georgetown",14
"676",2018,"Merrimac Farms, Nokesville, VA",1
"676",2018,"Walker Nature Center",12
"676",2019,"Caledon State Park",6
"676",2019,"Georgetown",9
"676",2019,"Merrimac Farms, Nokesville, VA",3
"676",2019,"Riverbend Park",10
"676",2019,"Scott's Run Nature Preserve",9
"676",2019,"Walker Nature Center",14
"701",2012,"BBS 63-022-05",4
"701",2012,"BBS 82-902-43",4
"701",2014,"Great Smoky Mountains Institute at Tremont",2
"701",2015,"Great Smoky Mountains Institute at Tremont",3
"701",2016,"Great Smoky Mountains Institute at Tremont",8
"701",2017,"Great Smoky Mountains Institute at Tremont",2
"701",2018,"Great Smoky Mountains Institute at Tremont",8
"701",2018,"Red Top Mountain State Park",2
"701",2019,"Great Smoky Mountains Institute at Tremont",3
"702",2002,"Coweeta - BS",4
"702",2002,"Coweeta - RK",3
"702",2003,"Coweeta - BB",5
"702",2003,"Coweeta - BS",5
"702",2003,"Coweeta - RK",5
"702",2004,"Coweeta - BB",5
"702",2004,"Coweeta - BS",5
"702",2004,"Coweeta - RK",5
"702",2005,"Coweeta - BB",4
"702",2005,"Coweeta - BS",4
"702",2005,"Coweeta - RK",4
"702",2006,"Coweeta - BB",5
"702",2006,"Coweeta - BS",5
"702",2006,"Coweeta - RK",7
"702",2007,"Coweeta - BB",6
"702",2007,"Coweeta - BS",6
"702",2007,"Coweeta - RK",6
"702",2008,"Coweeta - BB",6
"702",2008,"Coweeta - BS",7
"702",2008,"Coweeta - RK",6
"702",2009,"Coweeta - BB",6
"702",2009,"Coweeta - BS",6
"702",2010,"BBS 27-041-11",1
"702",2010,"BBS 27-041-32",1
"702",2010,"BBS 63-031-05",1
"702",2010,"BBS 63-031-17",1
"702",2010,"BBS 63-906-15",2
"702",2010,"BBS 63-906-44",1
"702",2010,"BBS 63-910-06",2
"702",2010,"BBS 63-910-28",1
"702",2010,"BBS 63-911-08",1
"702",2010,"BBS 63-911-38",2
"702",2010,"BBS 82-042-06",2
"702",2010,"BBS 82-042-40",1
"702",2010,"BBS 82-903-39",2
"702",2010,"BBS 82-903-44",1
"702",2010,"Coweeta - BB",8
"702",2010,"Coweeta - BS",8
"702",2011,"BBS 27-041-32",5
"702",2011,"BBS 63-031-17",5
"702",2011,"BBS 63-906-44",5
"702",2011,"BBS 63-910-06",5
"702",2011,"BBS 63-910-28",4
"702",2011,"BBS 63-911-08",5
"702",2011,"BBS 82-903-39",5
"702",2011,"BBS 82-903-44",5
"702",2011,"Coweeta - BB",7
"702",2011,"Coweeta - BS",10
"702",2012,"BBS 27-041-32",4
"702",2012,"BBS 63-031-17",4
"702",2012,"BBS 63-906-27",4
"702",2012,"BBS 63-906-44",4
"702",2012,"BBS 63-909-09",4
"702",2012,"BBS 63-909-44",4
"702",2012,"BBS 63-910-06",4
"702",2012,"BBS 63-910-28",5
"702",2012,"BBS 63-911-08",4
"702",2012,"BBS 82-042-19",4
"702",2012,"BBS 82-903-39",4
"702",2012,"BBS 82-903-44",4
"702",2012,"Coweeta - BB",10
"702",2012,"Coweeta - BS",14
"702",2013,"Coweeta - BB",9
"702",2013,"Coweeta - BS",10
"702",2014,"Coweeta - BB",12
"702",2014,"Coweeta - BS",13
"702",2015,"Coweeta - BB",10
"702",2015,"Coweeta - BS",12
"702",2016,"Coweeta - BB",9
"702",2016,"Coweeta - BS",9
"702",2017,"Coweeta - BB",9
"702",2017,"Coweeta - BS",9
"702",2018,"Appalachian State University",1
"702",2018,"Azalea Repository (TNCA)",15
"702",2018,"Coweeta - BB",10
"702",2018,"Coweeta - BS",10
"702",2018,"Cradle Heritage Site",3
"702",2018,"Plants of Promise Garden (TNCA)",10
"702",2018,"Stream Garden (TNCA)",2
"702",2019,"Appalachian State University",12
"702",2019,"Azalea Repository (TNCA)",9
"702",2019,"Forest Meadow (TNCA)",13
"702",2019,"Plants of Promise Garden (TNCA)",1
"703",2014,"Prairie Ridge Ecostation",9
"703",2015,"NC Botanical Garden",10
"703",2015,"Prairie Ridge Ecostation",17
"703",2016,"NC Botanical Garden",13
"703",2016,"Prairie Ridge Ecostation",17
"703",2017,"NC Botanical Garden",12
"703",2017,"Prairie Ridge Ecostation",10
"703",2018,"East Carolina University",13
"703",2018,"Hemlock Bluffs",16
"703",2018,"Jordan Lake SRA",3
"703",2018,"NC Botanical Garden",12
"703",2018,"NC State University",16
"703",2018,"Piedmont Wildlife Center",4
"703",2018,"Prairie Ridge Ecostation",11
"703",2018,"Pritchard Park (Chapel Hill Public Library)",7
"703",2018,"UNC Chapel Hill Campus",13
"703",2019,"East Carolina University",3
"703",2019,"Hemlock Bluffs",6
"703",2019,"NC Botanical Garden",11
"703",2019,"NC State University",5
"703",2019,"Prairie Ridge Ecostation",11
"703",2019,"UNC Chapel Hill Campus",15
"728",2019,"Columbus Botanical Garden",6
"729",2019,"Fernbank Forest",10
"730",2017,"Roxbury Park",8
"730",2018,"CawCaw Interpretive Center",21
"730",2019,"Riverbanks",10
"732",2019,"UNCW",1
"733",2018,"Currituck Banks Reserve",14
"733",2019,"Currituck Banks Reserve",16
"736",2018,"Linda Loring Nature Foundation",1
"736",2019,"Linda Loring Nature Foundation",16
