"cell","year","jd_wk","nObs"
592,"2015",105,10
592,"2015",112,1
592,"2015",126,8
592,"2015",133,10
592,"2015",140,19
592,"2015",147,26
592,"2015",154,57
592,"2015",161,12
592,"2015",168,15
592,"2015",175,14
592,"2015",182,62
592,"2015",189,12
592,"2015",196,8
592,"2015",203,25
592,"2015",210,22
592,"2016",105,4
592,"2016",112,19
592,"2016",119,11
592,"2016",126,23
592,"2016",133,7
592,"2016",140,6
592,"2016",147,38
592,"2016",154,20
592,"2016",161,11
592,"2016",168,68
592,"2016",175,49
592,"2016",182,36
592,"2016",189,74
592,"2016",196,22
592,"2016",203,128
592,"2016",210,49
592,"2017",105,26
592,"2017",112,41
592,"2017",119,5
592,"2017",126,8
592,"2017",133,23
592,"2017",140,31
592,"2017",147,241
592,"2017",154,63
592,"2017",161,132
592,"2017",168,43
592,"2017",175,187
592,"2017",182,129
592,"2017",189,74
592,"2017",196,44
592,"2017",203,121
592,"2017",210,146
592,"2018",105,14
592,"2018",112,30
592,"2018",119,38
592,"2018",126,33
592,"2018",133,50
592,"2018",140,90
592,"2018",147,103
592,"2018",154,387
592,"2018",161,475
592,"2018",168,437
592,"2018",175,504
592,"2018",182,714
592,"2018",189,649
592,"2018",196,804
592,"2018",203,590
592,"2018",210,682
593,"2015",105,24
593,"2015",112,18
593,"2015",119,56
593,"2015",126,103
593,"2015",133,104
593,"2015",140,143
593,"2015",147,169
593,"2015",154,205
593,"2015",161,301
593,"2015",168,280
593,"2015",175,207
593,"2015",182,481
593,"2015",189,530
593,"2015",196,345
593,"2015",203,202
593,"2015",210,131
593,"2016",105,50
593,"2016",112,23
593,"2016",119,40
593,"2016",126,63
593,"2016",133,96
593,"2016",140,142
593,"2016",147,379
593,"2016",154,327
593,"2016",161,496
593,"2016",168,580
593,"2016",175,413
593,"2016",182,460
593,"2016",189,489
593,"2016",196,569
593,"2016",203,407
593,"2016",210,519
593,"2017",105,92
593,"2017",112,157
593,"2017",119,58
593,"2017",126,85
593,"2017",133,308
593,"2017",140,241
593,"2017",147,574
593,"2017",154,602
593,"2017",161,841
593,"2017",168,1232
593,"2017",175,1014
593,"2017",182,1805
593,"2017",189,863
593,"2017",196,2172
593,"2017",203,1287
593,"2017",210,1175
593,"2018",105,60
593,"2018",112,274
593,"2018",119,579
593,"2018",126,461
593,"2018",133,793
593,"2018",140,1209
593,"2018",147,2327
593,"2018",154,1925
593,"2018",161,2834
593,"2018",168,3247
593,"2018",175,2621
593,"2018",182,4103
593,"2018",189,3102
593,"2018",196,2990
593,"2018",203,2113
593,"2018",210,2736
595,"2015",105,26
595,"2015",112,14
595,"2015",119,48
595,"2015",126,107
595,"2015",133,178
595,"2015",140,203
595,"2015",147,135
595,"2015",154,253
595,"2015",161,280
595,"2015",168,417
595,"2015",175,413
595,"2015",182,617
595,"2015",189,516
595,"2015",196,590
595,"2015",203,539
595,"2015",210,584
595,"2016",105,100
595,"2016",112,109
595,"2016",119,60
595,"2016",126,133
595,"2016",133,180
595,"2016",140,474
595,"2016",147,571
595,"2016",154,535
595,"2016",161,382
595,"2016",168,461
595,"2016",175,1007
595,"2016",182,736
595,"2016",189,695
595,"2016",196,648
595,"2016",203,773
595,"2016",210,566
595,"2017",105,403
595,"2017",112,274
595,"2017",119,277
595,"2017",126,160
595,"2017",133,333
595,"2017",140,290
595,"2017",147,459
595,"2017",154,552
595,"2017",161,1131
595,"2017",168,1151
595,"2017",175,651
595,"2017",182,987
595,"2017",189,678
595,"2017",196,1272
595,"2017",203,1054
595,"2017",210,1001
595,"2018",105,82
595,"2018",112,1001
595,"2018",119,830
595,"2018",126,376
595,"2018",133,421
595,"2018",140,977
595,"2018",147,977
595,"2018",154,1056
595,"2018",161,1321
595,"2018",168,1234
595,"2018",175,1356
595,"2018",182,1837
595,"2018",189,1469
595,"2018",196,1881
595,"2018",203,1589
595,"2018",210,1886
702,"2015",105,143
702,"2015",112,85
702,"2015",119,158
702,"2015",126,281
702,"2015",133,239
702,"2015",140,247
702,"2015",147,103
702,"2015",154,219
702,"2015",161,234
702,"2015",168,155
702,"2015",175,192
702,"2015",182,234
702,"2015",189,170
702,"2015",196,376
702,"2015",203,203
702,"2015",210,182
702,"2016",105,165
702,"2016",112,237
702,"2016",119,117
702,"2016",126,221
702,"2016",133,229
702,"2016",140,238
702,"2016",147,266
702,"2016",154,347
702,"2016",161,268
702,"2016",168,315
702,"2016",175,924
702,"2016",182,262
702,"2016",189,332
702,"2016",196,171
702,"2016",203,310
702,"2016",210,412
702,"2017",105,280
702,"2017",112,250
702,"2017",119,191
702,"2017",126,197
702,"2017",133,304
702,"2017",140,318
702,"2017",147,384
702,"2017",154,319
702,"2017",161,381
702,"2017",168,276
702,"2017",175,277
702,"2017",182,300
702,"2017",189,281
702,"2017",196,479
702,"2017",203,643
702,"2017",210,583
702,"2018",105,219
702,"2018",112,529
702,"2018",119,567
702,"2018",126,416
702,"2018",133,423
702,"2018",140,581
702,"2018",147,643
702,"2018",154,677
702,"2018",161,863
702,"2018",168,902
702,"2018",175,670
702,"2018",182,870
702,"2018",189,807
702,"2018",196,1041
702,"2018",203,960
702,"2018",210,906
703,"2015",105,13
703,"2015",112,14
703,"2015",119,5
703,"2015",126,10
703,"2015",133,20
703,"2015",140,24
703,"2015",147,43
703,"2015",154,97
703,"2015",161,62
703,"2015",168,118
703,"2015",175,60
703,"2015",182,95
703,"2015",189,57
703,"2015",196,103
703,"2015",203,33
703,"2015",210,101
703,"2016",105,94
703,"2016",112,81
703,"2016",119,30
703,"2016",126,45
703,"2016",133,44
703,"2016",140,57
703,"2016",147,71
703,"2016",154,137
703,"2016",161,147
703,"2016",168,127
703,"2016",175,166
703,"2016",182,133
703,"2016",189,85
703,"2016",196,142
703,"2016",203,269
703,"2016",210,278
703,"2017",105,1233
703,"2017",112,216
703,"2017",119,230
703,"2017",126,133
703,"2017",133,310
703,"2017",140,232
703,"2017",147,310
703,"2017",154,245
703,"2017",161,170
703,"2017",168,268
703,"2017",175,348
703,"2017",182,191
703,"2017",189,324
703,"2017",196,340
703,"2017",203,403
703,"2017",210,312
703,"2018",105,285
703,"2018",112,1099
703,"2018",119,630
703,"2018",126,477
703,"2018",133,487
703,"2018",140,673
703,"2018",147,580
703,"2018",154,509
703,"2018",161,492
703,"2018",168,504
703,"2018",175,514
703,"2018",182,527
703,"2018",189,754
703,"2018",196,632
703,"2018",203,666
703,"2018",210,512
