"taxon.name","class"
"Morpho menelaus","Insecta"
"Bagrada hilaris","Insecta"
"Tropidacris collaris","Insecta"
"Cynara cardunculus","Magnoliopsida"
"Catoblepia berecynthia","Insecta"
"Lagascea mollis","Magnoliopsida"
"Neococytius cluentius","Insecta"
"Eumorpha vitis","Insecta"
"Heliotropium curassavicum","Magnoliopsida"
"Garcinia guacopary","Magnoliopsida"
"Phyla canescens","Magnoliopsida"
"Xylophanes tersa","Insecta"
"Distimake dissectus","Magnoliopsida"
"Nierembergia aristata",NA
"Modiolastrum gilliesii","Magnoliopsida"
"Cocytius duponchel","Insecta"
"Talisia esculenta","Magnoliopsida"
"Pareuptychia ocirrhoe","Insecta"
"Oxalis tetraphylla","Magnoliopsida"
"Passer domesticus","Aves"
"Guira guira","Aves"
"Anas georgica","Aves"
"Lobelia tupa","Magnoliopsida"
"Bombus terrestris","Insecta"
"Heliconia rostrata","Liliopsida"
"Panthiades aeolus",NA
"Anartia jatrophae","Insecta"
"Rothschildia erycina","Insecta"
"Columba livia","Aves"
"Lucilia sericata","Insecta"
"Bombus dahlbomii","Insecta"
"Tropidurus semitaeniatus","Reptilia"
"Galea spixii","Mammalia"
"Liolaemus fuscus","Reptilia"
"Francoa appendiculata","Magnoliopsida"
"Cichla piquiti","Actinopterygii"
"Batrachyla taeniata","Amphibia"
"Rupicola peruvianus","Aves"
"Pitangus sulphuratus","Aves"
"Spinus magellanicus","Aves"
"Luzuriaga radicans","Liliopsida"
"Dendrocygna bicolor","Aves"
"Anchylorhynchus tremolerasi","Insecta"
"Luma apiculata","Magnoliopsida"
"Cereus jamacaru","Magnoliopsida"
"Phymaturus maulense","Reptilia"
"Callithrix penicillata","Mammalia"
"Phaethornis ruber","Aves"
"Crypturellus cinereus",NA
"Tegosa claudina","Insecta"
"Ibycter americanus","Aves"
"Loasa acanthifolia","Magnoliopsida"
"Leptoglossus chilensis","Insecta"
"Echium vulgare","Magnoliopsida"
"Nasturtium officinale","Magnoliopsida"
"Coragyps atratus","Aves"
"Aramides saracura","Aves"
"Ardea cocoi","Aves"
"Dendrocygna viduata","Aves"
"Butorides striata","Aves"
"Penelope obscura","Aves"
"Siproeta stelenes","Insecta"
"Geositta peruviana","Aves"
"Murraya koenigii","Magnoliopsida"
"Memphis moruus","Insecta"
"Silybum marianum","Magnoliopsida"
"Salvia cuspidata","Magnoliopsida"
"Perithemis tenera","Insecta"
"Microlophus yanezi","Reptilia"
"Tyrannus melancholicus","Aves"
"Patagioenas araucana","Aves"
"Ramphastos dicolorus","Aves"
"Fuchsia magellanica","Magnoliopsida"
"Echium plantagineum","Magnoliopsida"
"Tropidacris cristata","Insecta"
"Ciconia maguari","Aves"
"Phenes raptor","Insecta"
"Pilea elegans","Magnoliopsida"
"Alonsoa meridionalis","Magnoliopsida"
"Euglandina rosea","Gastropoda"
"Lama guanicoe","Mammalia"
"Chaetophractus villosus","Mammalia"
"Mirounga leonina","Mammalia"
"Dolichotis patagonum","Mammalia"
"Spoladea recurvalis","Insecta"
"Eupsophus insularis","Amphibia"
"Agapanthus praecox","Liliopsida"
"Vanellus chilensis","Aves"
"Steatoda grossa","Arachnida"
"Loxosceles laeta","Arachnida"
"Pygochelidon cyanoleuca","Aves"
"Camponotus sericeiventris","Insecta"
"Hamadryas februa","Insecta"
"Dynamine postverta","Insecta"
"Catagramma pygas","Insecta"
"Salvator merianae","Reptilia"
"Doxocopa agathina","Insecta"
"Hypocrita bicolora","Insecta"
"Tropidurus catalanensis","Reptilia"
"Cavia aperea","Mammalia"
"Nasua nasua","Mammalia"
"Phalacrocorax brasilianus","Aves"
"Aristolochia littoralis","Magnoliopsida"
"Grapsus grapsus","Malacostraca"
"Linepithema humile","Insecta"
"Amblyrhynchus cristatus","Reptilia"
"Microlophus delanonis","Reptilia"
"Tachypompilus mendozae","Insecta"
"Junonia evarete","Insecta"
"Pyrocephalus rubinus","Aves"
"Euptoieta hegesia","Insecta"
"Ascia monuste","Insecta"
"Ascalapha odorata","Insecta"
"Eurema elathea","Insecta"
"Lamourouxia virgata","Magnoliopsida"
"Bolbites onitoides",NA
"Sicalis flaveola","Aves"
"Estrilda astrild","Aves"
"Ocypode gaudichaudii","Malacostraca"
"Actinote melanisans","Insecta"
"Placidina euryanassa","Insecta"
"Caesalpinia pulcherrima","Magnoliopsida"
"Burnsius orcus","Insecta"
"Microlophus albemarlensis","Reptilia"
"Ammodramus humeralis","Aves"
"Harmonia axyridis","Insecta"
"Lagenorhynchus obscurus","Mammalia"
"Troglodytes aedon","Aves"
"Hippocamelus antisensis","Mammalia"
"Myiophobus fasciatus","Aves"
"Methona themisto","Insecta"
"Mimus longicaudatus","Aves"
"Lapageria rosea","Liliopsida"
"Blaptica dubia","Insecta"
"Salvia dombeyi","Magnoliopsida"
"Todirostrum cinereum","Aves"
