"year","user.login","total_obs","total_obs_insect"
2019,"_____ae",707,291
2019,"_roby_g",3,0
2019,"_wasp_",25,3
2019,"a-azarchs",14,0
2019,"a-tanguay",69,31
2019,"a_blender",8,6
2019,"a_calidris",963,161
2019,"a_cicchi",11,1
2019,"a_cuell",103,48
2019,"a_dellas",192,1
2019,"a_laughlin",1,0
2019,"a_meza",8,2
2019,"a_monter",438,24
2019,"a_wade",133,7
2019,"a0140555lshaw19",2,1
2019,"a0141147nwinnietan19",2,2
2019,"a1a",5,0
2019,"a1guerra",5,0
2019,"a24",2439,2282
2019,"a3d3vyth",42,3
2019,"a5sabatini",40,5
2019,"a8a",13,4
2019,"aabacks",534,82
2019,"aacocucci",266,83
2019,"aacosta160",1,0
2019,"aadarsh",3,0
2019,"aaellig",8,0
2019,"aaesparza",3,3
2019,"aaharr4",1,0
2019,"aajdec",213,55
2019,"aalbertrebergen",3036,2934
2019,"aalighieri",43,3
2019,"aallaet",4,0
2019,"aanchalmohan",1,0
2019,"aandroski",54,9
2019,"aaohler",751,462
2019,"aaos",1,0
2019,"aaranda",30,8
2019,"aarati",3,1
2019,"aarft",326,3
2019,"aarmesto",52,23
2019,"aarnold101",10,0
2019,"aaroale",21,0
2019,"aaroms",91,10
2019,"aaron_brees",139,118
2019,"aaron_echols",1664,107
2019,"aaron258",1,0
2019,"aaronbeamish",5,3
2019,"aaronboone",65,25
2019,"aaronca",153,40
2019,"aaroncarlson",3995,203
2019,"aaroniemma",236,17
2019,"aaronliston",423,11
2019,"aaronmackinnon",1,0
2019,"aaronmoslow",13,7
2019,"aaronmz",38,19
2019,"aaronr",542,385
2019,"aaronramon",24,1
2019,"aaronruben",415,77
2019,"aaronsizer",34,8
2019,"aaronstiles",101,10
2019,"aaronthearcher",13,2
2019,"aaronzammit",3,1
2019,"aarti1",5,0
2019,"aaustin437",5,0
2019,"aautumn702",4,0
2019,"ab9",2,1
2019,"abadoo",288,47
2019,"abalay",183,15
2019,"aballance",20,1
2019,"abard",42,4
2019,"abarma",1,1
2019,"abarqi",2,0
2019,"abast",1,1
2019,"abbeybrowne",9,4
2019,"abbeypp",2,0
2019,"abbeyusc",8,0
2019,"abbie_brockbank",2,1
2019,"abby_jo",2,0
2019,"abby106",1,0
2019,"abby48",12,4
2019,"abbydoerksen",1,0
2019,"abbyfavis",2,0
2019,"abbyfavis1",14,2
2019,"abbyfloden",11,0
