"user.login","n_class","n_spp","n_order_insect","n_spp_insect"
"_____ae",15,343,8,131
"_roby_g",2,2,0,0
"_wasp_",7,25,3,3
"a-azarchs",4,13,0,0
"a-tanguay",11,55,5,25
"a_blender",3,8,5,6
"a_calidris",20,541,8,94
"a_cicchi",5,9,1,1
"a_cuell",9,80,8,38
"a_dellas",7,174,1,1
"a_laughlin",1,1,0,0
"a_meza",3,8,1,2
"a_monter",11,256,6,20
"a_wade",13,117,4,7
"a0140555lshaw19",2,2,1,1
"a0141147nwinnietan19",1,2,2,2
"a1a",3,5,0,0
"a1guerra",3,4,0,0
"a24",11,759,11,681
"a3d3vyth",11,37,2,2
"a5sabatini",9,38,3,5
"a8a",4,13,2,4
"aabacks",28,419,7,66
"aacocucci",10,211,8,69
"aacosta160",1,1,0,0
"aadarsh",2,3,0,0
"aaellig",1,8,0,0
"aaesparza",1,3,2,3
"aaharr4",1,1,0,0
"aajdec",11,149,6,43
"aalbertrebergen",10,296,9,231
"aalighieri",11,39,3,3
"aallaet",2,4,0,0
"aanchalmohan",1,1,0,0
"aandroski",10,46,5,9
"aaohler",16,440,11,235
"aaos",1,1,0,0
"aaranda",7,25,5,7
"aarati",2,3,1,1
"aarft",11,216,2,3
"aarmesto",9,49,4,23
"aarnold101",5,9,0,0
"aaroale",3,19,0,0
"aaroms",11,80,4,10
"aaron_brees",9,101,8,80
"aaron_echols",30,1221,7,97
"aaron258",1,1,0,0
"aaronbeamish",2,5,2,3
"aaronboone",9,61,5,23
"aaronca",13,139,9,36
"aaroncarlson",35,1414,9,143
"aaroniemma",12,174,7,16
"aaronliston",23,352,5,11
"aaronmackinnon",1,1,0,0
"aaronmoslow",5,11,2,6
"aaronmz",6,38,5,19
"aaronr",12,289,9,167
"aaronramon",8,22,1,1
"aaronruben",13,225,8,52
"aaronsizer",9,32,4,8
"aaronstiles",16,84,4,9
"aaronthearcher",7,12,2,2
"aaronzammit",3,3,1,1
"aarti1",1,5,0,0
"aaustin437",1,4,0,0
"aautumn702",1,4,0,0
"ab9",2,2,1,1
"abadoo",14,231,9,43
"abalay",16,140,6,15
"aballance",4,6,1,1
"abard",6,35,3,4
"abarma",1,1,1,1
"abarqi",1,2,0,0
"abast",1,1,1,1
"abbeybrowne",5,10,3,4
"abbeypp",2,2,0,0
"abbeyusc",5,8,0,0
"abbie_brockbank",2,2,1,1
"abby_jo",2,2,0,0
"abby106",1,1,0,0
"abby48",3,11,1,4
"abbydoerksen",1,1,0,0
"abbyfavis",2,2,0,0
"abbyfavis1",5,14,1,2
"abbyfloden",2,10,0,0
"abbygailbarras",1,1,0,0
"abbylatiolais",1,2,0,0
"abbynash",2,2,0,0
