"cell","year","jd_wk","nObs"
127,"2019",175,1
370,"2019",168,14
370,"2019",175,3
370,"2019",189,2
370,"2019",196,2
370,"2019",203,42
375,"2019",126,1
375,"2019",175,3
375,"2019",182,1
402,"2019",168,8
402,"2019",175,4
402,"2019",182,9
402,"2019",203,9
403,"2019",168,2
404,"2019",203,3
425,"2019",210,1
427,"2019",168,1
427,"2019",182,4
430,"2019",210,1
432,"2019",196,8
452,"2019",147,2
452,"2019",154,1
452,"2019",182,10
452,"2019",189,18
452,"2019",196,1
453,"2019",161,9
453,"2019",168,1
454,"2019",161,2
454,"2019",182,3
454,"2019",196,1
454,"2019",203,12
454,"2019",210,1
455,"2019",196,1
455,"2019",203,1
457,"2019",154,1
457,"2019",161,1
457,"2019",196,75
458,"2019",210,1
460,"2019",210,1
480,"2019",119,1
480,"2019",133,3
480,"2019",140,1
480,"2019",147,2
480,"2019",154,10
480,"2019",161,14
480,"2019",168,12
480,"2019",175,8
480,"2019",182,20
480,"2019",189,14
480,"2019",196,16
480,"2019",203,22
480,"2019",210,31
481,"2019",161,3
481,"2019",168,1
481,"2019",189,2
482,"2019",203,2
483,"2019",189,16
483,"2019",196,47
483,"2019",203,201
483,"2019",210,40
484,"2019",154,1
484,"2019",175,1
484,"2019",182,71
484,"2019",189,128
484,"2019",196,28
485,"2019",189,1
485,"2019",203,35
486,"2019",154,2
486,"2019",168,6
486,"2019",175,1
486,"2019",182,12
486,"2019",189,1
486,"2019",203,1
487,"2019",140,1
487,"2019",168,9
487,"2019",189,2
487,"2019",196,3
507,"2019",105,7
507,"2019",112,6
507,"2019",119,2
507,"2019",126,1
507,"2019",133,9
507,"2019",140,15
507,"2019",147,60
507,"2019",154,34
507,"2019",161,128
507,"2019",168,156
507,"2019",175,236
507,"2019",182,391
507,"2019",189,319
507,"2019",196,520
507,"2019",203,256
507,"2019",210,176
508,"2019",105,3
508,"2019",119,8
508,"2019",126,8
508,"2019",133,13
508,"2019",140,27
508,"2019",147,35
508,"2019",154,64
508,"2019",161,84
508,"2019",168,125
508,"2019",175,245
508,"2019",182,272
508,"2019",189,214
508,"2019",196,215
508,"2019",203,237
508,"2019",210,220
509,"2019",126,5
509,"2019",140,6
509,"2019",147,1
509,"2019",154,4
509,"2019",161,8
509,"2019",168,13
509,"2019",175,29
509,"2019",182,8
509,"2019",189,27
509,"2019",196,9
509,"2019",203,14
509,"2019",210,8
510,"2019",119,2
510,"2019",154,1
510,"2019",161,1
510,"2019",168,28
510,"2019",175,7
510,"2019",182,12
510,"2019",189,7
510,"2019",196,43
510,"2019",203,9
510,"2019",210,26
511,"2019",154,2
511,"2019",189,26
511,"2019",210,4
512,"2019",105,1
512,"2019",112,1
512,"2019",126,2
512,"2019",133,3
512,"2019",147,12
512,"2019",154,14
512,"2019",161,9
512,"2019",168,6
512,"2019",175,3
512,"2019",182,34
512,"2019",189,53
512,"2019",196,143
512,"2019",203,181
512,"2019",210,61
513,"2019",112,1
513,"2019",119,2
513,"2019",126,7
513,"2019",133,1
513,"2019",140,64
513,"2019",147,3
513,"2019",154,54
513,"2019",161,18
513,"2019",168,28
513,"2019",175,10
513,"2019",182,192
513,"2019",189,163
513,"2019",196,22
513,"2019",203,148
513,"2019",210,534
514,"2019",133,1
514,"2019",147,7
514,"2019",154,1
514,"2019",161,11
514,"2019",168,2
514,"2019",175,29
514,"2019",182,101
514,"2019",189,105
514,"2019",196,300
514,"2019",203,338
514,"2019",210,154
534,"2019",105,60
534,"2019",112,180
534,"2019",119,87
534,"2019",126,83
534,"2019",133,113
534,"2019",140,144
534,"2019",147,242
534,"2019",154,341
534,"2019",161,571
534,"2019",168,651
534,"2019",175,614
534,"2019",182,686
534,"2019",189,796
534,"2019",196,1130
534,"2019",203,922
534,"2019",210,942
535,"2019",105,21
535,"2019",112,40
535,"2019",119,12
535,"2019",126,30
535,"2019",133,60
535,"2019",140,86
535,"2019",147,87
535,"2019",154,121
535,"2019",161,104
535,"2019",168,134
535,"2019",175,244
535,"2019",182,482
535,"2019",189,390
535,"2019",196,543
535,"2019",203,386
535,"2019",210,269
536,"2019",112,1
536,"2019",119,6
536,"2019",126,4
536,"2019",133,14
536,"2019",140,24
536,"2019",147,14
536,"2019",154,34
536,"2019",161,53
536,"2019",168,74
536,"2019",175,71
536,"2019",182,236
536,"2019",189,104
536,"2019",196,55
536,"2019",203,82
536,"2019",210,96
537,"2019",112,1
537,"2019",126,1
537,"2019",133,1
537,"2019",140,1
537,"2019",147,1
537,"2019",154,1
537,"2019",161,28
537,"2019",168,10
537,"2019",175,50
537,"2019",182,72
537,"2019",189,47
537,"2019",196,34
537,"2019",203,75
537,"2019",210,123
538,"2019",105,1
538,"2019",119,3
538,"2019",126,17
538,"2019",133,7
538,"2019",140,82
538,"2019",147,62
538,"2019",154,404
538,"2019",161,78
538,"2019",168,138
538,"2019",175,425
538,"2019",182,289
538,"2019",189,253
538,"2019",196,250
538,"2019",203,355
538,"2019",210,173
539,"2019",147,1
539,"2019",154,1
539,"2019",175,1
539,"2019",182,1
539,"2019",189,2
539,"2019",196,1
539,"2019",203,3
539,"2019",210,6
540,"2019",105,18
540,"2019",112,10
540,"2019",119,11
540,"2019",126,14
540,"2019",133,22
540,"2019",140,18
540,"2019",147,64
540,"2019",154,24
540,"2019",161,43
540,"2019",168,164
540,"2019",175,228
540,"2019",182,325
540,"2019",189,242
540,"2019",196,535
540,"2019",203,532
540,"2019",210,480
541,"2019",105,12
541,"2019",112,7
541,"2019",119,19
