"year","lat_bin","lon_bin","life_stage","scientific_name","n"
2017,25,-81,"adult","Ascalapha odorata",11
2017,25,-81,"adult","Utetheisa ornatrix",12
2017,27,-99,"adult","Ascalapha odorata",21
2017,27,-99,"adult","Horama panthalon",14
2017,27,-99,"adult","Melipotis cellaris",22
2017,27,-99,"adult","Melipotis indomita",12
2017,27,-97,"adult","Ascalapha odorata",18
2017,27,-97,"adult","Melipotis cellaris",17
2017,27,-97,"adult","Psamatodes abydata",22
2017,29,-97,"adult","Psamatodes abydata",11
2017,29,-95,"adult","Acronicta rubricoma",12
2017,29,-95,"adult","Anicla infecta",11
2017,29,-95,"adult","Anticarsia gemmatalis",23
2017,29,-95,"adult","Argyrogramma verruca",17
2017,29,-95,"adult","Ascalapha odorata",21
2017,29,-95,"adult","Bagisara repanda",13
2017,29,-95,"adult","Charadra dispulsa",10
2017,29,-95,"adult","Cisseps fulvicollis",13
2017,29,-95,"adult","Cisthene plumbea",12
2017,29,-95,"adult","Condica videns",11
2017,29,-95,"adult","Costaconvexa centrostrigaria",18
2017,29,-95,"adult","Cyclophora nanaria",10
2017,29,-95,"adult","Diastema tigris",19
2017,29,-95,"adult","Elaphria chalcedonia",18
2017,29,-95,"adult","Elaphria exesa",11
2017,29,-95,"adult","Elaphria nucicolora",16
2017,29,-95,"adult","Estigmene acrea",17
2017,29,-95,"adult","Feltia subterranea",10
2017,29,-95,"adult","Galgula partita",16
2017,29,-95,"adult","Helicoverpa zea",10
2017,29,-95,"adult","Homophoberia apicosa",10
2017,29,-95,"adult","Hypena scabra",26
2017,29,-95,"adult","Hypercompe scribonia",21
2017,29,-95,"adult","Idaea tacturata",11
2017,29,-95,"adult","Idia aemula",14
2017,29,-95,"adult","Iridopsis defectaria",21
2017,29,-95,"adult","Lacinipolia laudabilis",13
2017,29,-95,"adult","Leptostales pannaria",23
2017,29,-95,"adult","Leucania incognita",16
2017,29,-95,"adult","Lophocampa annulosa",27
2017,29,-95,"adult","Magusa divaricata",10
2017,29,-95,"adult","Marimatha nigrofimbria",10
2017,29,-95,"adult","Melanchroia chephise",25
2017,29,-95,"adult","Melipotis cellaris",13
2017,29,-95,"adult","Melipotis indomita",10
2017,29,-95,"adult","Metria amella",11
2017,29,-95,"adult","Mocis latipes",16
2017,29,-95,"adult","Mocis marcida",14
2017,29,-95,"adult","Nemoria lixaria",13
2017,29,-95,"adult","Ogdoconta cinereola",17
2017,29,-95,"adult","Orthonama obstipata",11
2017,29,-95,"adult","Palthis asopialis",12
2017,29,-95,"adult","Panopoda carneicosta",15
2017,29,-95,"adult","Panopoda rufimargo",10
2017,29,-95,"adult","Pareuchaetes insulata",22
2017,29,-95,"adult","Patalene olyzonaria",13
2017,29,-95,"adult","Pleuroprucha insulsaria",14
2017,29,-95,"adult","Plusiodonta compressipalpis",10
2017,29,-95,"adult","Psamatodes abydata",14
2017,29,-95,"adult","Ptichodis vinculum",12
2017,29,-95,"adult","Schizura unicornis",11
2017,29,-95,"adult","Selenisa sueroides",13
2017,29,-95,"adult","Spodoptera dolichos",14
2017,29,-95,"adult","Spodoptera latifascia",12
2017,29,-95,"adult","Spodoptera ornithogalli",17
2017,29,-95,"adult","Spragueia guttata",12
2017,29,-95,"adult","Synchlora frondaria",18
2017,29,-95,"adult","Tarache aprica",11
2017,29,-95,"adult","Tetanolita mynesalis",12
2017,29,-95,"adult","Tripudia quadrifera",16
2017,29,-95,"adult","Zale lunata",18
2017,29,-95,"caterpillar","Estigmene acrea",15
2017,29,-95,"caterpillar","Hyphantria cunea",18
2017,29,-95,"caterpillar","Orgyia detrita",40
2017,29,-83,"adult","Anticarsia gemmatalis",25
2017,29,-83,"adult","Eutrapela clemataria",12
2017,29,-83,"adult","Hypercompe scribonia",14
