"year","user_login","n_days","n_spp","n_obs"
"2008","ChrisAllen",1,1,1
"2008","Dan",1,0,1
"2008","Doug",1,1,1
"2008","Frogwatcher",1,0,1
"2008","Gato",1,1,1
"2008","Lynettey",1,1,1
"2008","Rapunzel3",1,1,1
"2008","SrinivasaKrishna",1,1,1
"2008","Star",2,2,2
"2008","Tim",3,1,3
"2008","_3foxes",3,4,4
"2008","_jiro",1,3,3
"2008","a0alv",1,1,1
"2008","a10",1,1,1
"2008","a2017p301b",1,0,1
"2008","a_anctil",1,1,1
"2008","a_coturnix",6,11,11
"2008","a_meyer",1,1,1
"2008","aaavery",1,1,1
"2008","aacostag",2,3,3
"2008","aalphyn",1,1,1
"2008","aambos",2,2,2
"2008","aap2nd",1,1,1
"2008","aarman",3,5,5
"2008","aaronbalam_tutor",3,3,3
"2008","aaronbaldwin",6,7,7
"2008","aaronramon",1,1,1
"2008","aaronruben",1,1,2
"2008","abc3",1,1,1
"2008","abelg",1,1,1
"2008","abhisheka",2,4,4
"2008","abookb",4,5,5
"2008","abr",5,18,18
"2008","absoluteandy",5,11,12
"2008","acaciocosta",2,2,2
"2008","acatenazzi",3,3,3
"2008","accipiter56",19,32,38
"2008","adailserranomamani",1,1,1
"2008","adamcohn",1,1,1
"2008","adamfromcanada",1,1,1
"2008","adamrpaul",1,1,2
"2008","addye",1,1,1
"2008","adiamond",6,6,6
"2008","aditimnair",1,1,2
"2008","adizzo",3,3,3
"2008","adorantes",1,1,1
"2008","adrian",1,1,1
"2008","adrianh72",1,1,1
"2008","adrianh_mo",1,1,1
"2008","adrianj",1,1,1
"2008","adriao",1,97,101
"2008","adriscoll",5,6,6
"2008","adv7440",6,10,10
"2008","adventurecoleman",1,1,1
"2008","aeboyles",4,9,9
"2008","aedmonds",6,9,10
"2008","aezammit",6,11,11
"2008","agaggino",2,1,2
"2008","aganansiire",1,1,1
"2008","aganezer",1,1,1
"2008","agdunstan",1,1,1
"2008","aggie_wildlifer",19,30,33
"2008","agmcmll",2,4,4
"2008","agoerlt",1,5,5
"2008","agt68",1,1,1
"2008","aguilita",1,1,1
"2008","ahaislip",2,2,2
"2008","ahan88",7,29,31
"2008","aheathco",1,1,1
"2008","aheldman",2,2,2
"2008","ahmedm",15,16,16
"2008","aholman512",1,1,1
"2008","ahospers",39,295,634
"2008","ailsa_cornelius",1,6,6
"2008","aimnair",5,6,6
"2008","aislingf",1,1,1
"2008","ajay",2,2,2
"2008","ajft",4,4,4
"2008","ajtrently",4,5,5
"2008","akasha",8,12,12
"2008","akilee",9,29,37
"2008","akrohn",8,12,12
"2008","aksimpson",1,1,1
"2008","alabamalizm",3,6,7
"2008","alabamaplants",1,1,1
"2008","alaincoppin",9,12,12
"2008","alan99",5,11,11
"2008","alan_barley",1,2,2
"2008","alan_liefting",1,1,1
"2008","alan_pickard",1,2,2
"2008","alan_rockefeller",102,255,423
"2008","alan_roddick",1,6,6
"2008","alan_talbut",1,5,5
"2008","alan_tichborne",1,3,3
"2008","alanhorstmann",7,8,8
"2008","albanianherper75",2,2,2
"2008","albertieco",1,2,3
"2008","albertogg",2,3,3
"2008","albertomartinez",1,1,1
"2008","aldemar",2,2,2
"2008","alderash",25,49,50
"2008","ale",8,10,10
"2008","alec_rainbow",1,3,3
"2008","alecc",2,2,2
"2008","alejandro_braulio",1,3,3
"2008","alejandrocuevas",3,5,5
"2008","alejandrolpez",1,2,2
"2008","alejandromijangosbetanzos",18,43,53
"2008","aleksandrebel",37,111,119
"2008","alekseyfaraway",1,1,1
"2008","alessandro_r",1,1,1
"2008","alets",1,1,1
"2008","alex_pol_64",1,1,1
"2008","alexalva",1,1,1
"2008","alexanderr",2,3,3
"2008","alexandria-nz",2,7,7
"2008","alexdreyer",29,193,251
"2008","alexeiebel",2,9,9
"2008","alexeisutkin",1,1,1
"2008","alexey",1,1,1
"2008","alexey25",1,3,3
"2008","alexiz",25,34,36
"2008","alexlamoreaux",4,9,15
"2008","alexpacheco",76,123,208
"2008","alexshepard",8,9,9
"2008","alfonsotorresduarte",1,1,1
"2008","alfredo_f_fuentes",1,1,1
"2008","alfredo_hd",7,8,8
"2008","alfredoavila",1,1,1
"2008","alfredofriascastro",1,1,1
"2008","alfredpimble",1,1,1
"2008","algonquinprovincialpark",4,4,4
"2008","algowry",1,1,1
"2008","alhram",2,13,13
"2008","ali_bat",3,1,3
"2008","alice_abela",1,1,1
"2008","alice_shanks",5,144,149
"2008","alicearzilli",1,1,1
"2008","alicia_warren",3,12,44
"2008","alison_chapman",1,4,4
"2008","alison_king",1,9,9
"2008","alison_kondler",8,41,49
"2008","alison_smithies",1,1,1
"2008","alison_tait",1,3,3
"2008","alison_young",1,1,1
"2008","alisonnorthup",9,33,39
"2008","alisonpearson",1,1,1
"2008","alka",2,2,2
"2008","alkavaidya",1,1,1
"2008","allan7",12,16,17
"2008","allandrewitt",1,1,1
"2008","allanfinlayson",1,1,1
"2008","allef7",5,5,5
"2008","allen_boynton",4,4,4
"2008","allende1194",1,0,1
"2008","allenlyu",7,26,27
"2008","allenratzlaff",12,51,52
"2008","allybrown",1,1,1
"2008","almantas",11,16,16
"2008","alnotten",2,2,2
"2008","alok",7,8,8
"2008","alromarques",1,1,1
"2008","also_sprach_susscrofa",5,7,7
"2008","alwoodhouse",2,2,2
"2008","alyssacritters",2,2,2
"2008","amadejtrnkoczy",1,1,1
"2008","amalgama",1,1,1
"2008","amallen",12,14,19
"2008","amanda_and_peter",1,4,4
"2008","amanda_clarke",1,5,5
"2008","amanda_kenna",1,5,5
"2008","amargoza",1,1,1
"2008","amarzee",25,36,61
"2008","amber146",3,5,5
"2008","amcuervo",9,10,11
"2008","ameeds",2,2,2
"2008","ameet",4,4,4
"2008","ameriko",1,0,1
"2008","ammartin",14,56,63
"2008","amoorehouse",5,5,6
"2008","amplex4love",16,38,55
"2008","amrita",1,1,1
"2008","amyjaecker-jones",4,7,8
"2008","amymacpherson",1,2,2
"2008","amzamz",17,26,27
"2008","amzapp",2,2,2
"2008","ana_gisel",3,3,3
"2008","anabenavides",35,46,160
"2008","anacrisisaliagasebastin",5,10,11
"2008","analisa",1,3,3
"2008","anasacuta",9,40,43
"2008","andersonwarkentin",1,1,1
"2008","andesgeo",1,1,1
"2008","andieang",1,1,1
"2008","andrasz",1,1,1
"2008","andre_menegotto",1,3,3
"2008","andrea_airey",1,2,2
"2008","andrea_johnson",1,1,1
"2008","andrea_quinlan",1,1,1
"2008","andrea_serra",1,2,2
"2008","andreadagnese",1,1,1
"2008","andreaincarp",1,1,1
"2008","andreamiranda",1,1,1
"2008","andreapnor",2,2,2
"2008","andreasalmaso",1,1,1
"2008","andreasforzi",1,1,1
"2008","andresbv",1,1,1
"2008","andresrios",1,1,1
"2008","andrew_garn",23,42,45
"2008","andrew_hankey",9,10,10
"2008","andrew_macbeth",1,7,7
"2008","andrew_styche",1,6,6
"2008","andrew_taylor",1,3,3
"2008","andrew_thornhill",13,75,80
"2008","andrewcampbell",2,3,3
"2008","andrewcannon",1,1,1
"2008","andrewdeacon",1,1,1
"2008","andrewhardacre",6,6,6
"2008","andrewm",3,6,6
"2008","andrewpierce",6,6,6
"2008","andrewtrevor-jones",2,1,2
"2008","andreyefremov",1,2,2
"2008","andri-maulidi",1,1,1
"2008","andy-nz",1,12,12
"2008","andy124",1,1,1
"2008","andy71",24,95,108
"2008","andybirder",3,3,3
"2008","andyfyon",21,216,440
"2008","andygluesenkamp",3,3,3
"2008","andyholland",1,1,1
"2008","andyjboyce",10,13,14
"2008","andyjones",2,2,2
"2008","andywilson",13,34,34
"2008","anewman",4,25,25
"2008","angela_watson",2,2,2
"2008","angelaamarillo",2,4,4
"2008","angelafoodcake",1,0,1
"2008","angelsosa",4,4,4
"2008","anglomike",1,1,1
"2008","anicolai",1,1,1
"2008","animalshooter",2,2,2
"2008","animebirder",22,68,68
"2008","anisimov-43",4,5,5
"2008","anita363",38,192,223
"2008","anita_james",1,2,2
"2008","anita_middlemiss",1,2,2
"2008","anmnielsen",4,11,15
"2008","ann",1,4,4
"2008","ann_devlin",1,7,7
"2008","ann_morris-steele",1,2,2
"2008","ann_sherlock",1,5,5
"2008","anna_christian",1,6,6
"2008","anna_shepherd",1,1,1
"2008","annacarolyn",20,88,98
"2008","annagypsy",1,1,1
"2008","annandale",3,3,3
"2008","annastruwe",3,2,3
"2008","anne_coplestone",1,9,9
"2008","anne_crabb",1,12,16
"2008","anne_cressey",1,13,13
"2008","anne_cumming",1,14,14
"2008","anne_petersen",1,1,1
"2008","anne_reid",1,2,2
"2008","anne_ross",1,3,3
"2008","anne_scott",1,2,2
"2008","anne_udy",1,5,5
"2008","anne_webster",1,1,1
"2008","anne_wignall",1,2,2
"2008","annebatten",3,5,5
"2008","annemirdl",8,14,14
"2008","annenorth",1,1,1
"2008","annetanne",46,91,99
"2008","annette_from_niagara_ontario_canada",1,1,1
"2008","annette_golding",1,2,2
"2008","annette_port",1,4,4
"2008","annette_purser",1,3,3
"2008","annetteluevanosgomez",1,1,1
"2008","annhaverstock",4,5,5
"2008","annieb214",1,1,1
"2008","annielefebvre",2,0,2
"2008","annika",1,2,2
"2008","annikaml",31,59,74
"2008","annmcpete",16,99,106
"2008","annpeach",3,3,3
"2008","annsymons",1,1,1
"2008","annvoeks",1,1,1
"2008","annxeneize",1,1,1
"2008","anonymous_ebirder",1,1,1
"2008","anothca",2,2,2
"2008","anp-sg-arm",5,5,5
"2008","ansari",1,2,2
"2008","ansell",5,11,11
"2008","anthonywood",8,15,16
"2008","antoinewagner",1,4,6
"2008","antoninknob",1,1,1
"2008","antoniomg7",1,1,1
"2008","antoniomorenotalamantes",1,2,2
"2008","antonkrhenbhl",1,1,1
"2008","antshrike69",1,1,1
"2008","anutochka",2,2,2
"2008","ap2il",15,28,32
"2008","apbucolo",1,1,1
"2008","apcm2019",22,4,34
"2008","apdp",1,1,1
"2008","apeterlongo",6,7,8
"2008","aphanotus",2,2,2
"2008","aplodontia",6,8,8
"2008","aplomadobirdy",2,3,3
"2008","apseregin",38,258,294
"2008","arachnida",3,3,4
"2008","arborsphere",10,22,22
"2008","archduke",3,4,5
"2008","archie-nz",1,4,4
"2008","archiverde",1,1,1
"2008","arcticory",5,8,8
"2008","areli_rojas",1,2,2
"2008","arestivo",2,2,2
"2008","ariani",1,1,1
"2008","aricz",1,1,1
"2008","arjunsrivathsa",1,1,1
"2008","arlette_may",1,14,14
"2008","armando_forest_al13",1,1,1
"2008","armandoalmeida",5,8,9
"2008","arno",1,1,1
"2008","arnoldwijker",31,128,133
"2008","arnulfomoreno",6,8,8
"2008","aroche",7,33,35
"2008","aromatisse",10,14,14
"2008","art_ritter",3,6,6
"2008","artdivcan",15,14,17
"2008","artefotos",1,1,1
"2008","artemis224",2,6,12
"2008","arthur_chapman",6,8,19
"2008","arthur_sinclar",1,1,1
"2008","arthur_william",1,13,13
"2008","arthurgrosset",1,1,1
"2008","arturo",2,2,2
"2008","arturoh-v",4,6,18
"2008","arturopea",3,2,3
"2008","arturovillatoro78",3,4,4
"2008","aru",1,1,1
"2008","arunasjuknevicius",2,2,2
"2008","arvensis",2,11,15
"2008","asandlermd",3,5,5
"2008","ashleigh_kendall",1,4,4
"2008","ashley_bradford",2,2,2
"2008","asimuta",1,1,1
"2008","aslanalexander",2,7,7
"2008","asnyder5",5,6,6
"2008","aspidoscelis",3,8,9
"2008","assafreetto",1,1,1
"2008","astrid",1,1,1
"2008","astronatura_coop",1,1,1
"2008","ateah_alfakih",1,1,1
"2008","atheist",1,1,1
"2008","atom",3,3,3
"2008","atrox77",10,23,37
"2008","audissou",6,26,26
"2008","audrey_eagle",1,3,3
"2008","aueda",7,13,13
"2008","auratus_nicole",4,4,4
"2008","aurelien_miralles",2,3,3
"2008","austin_baker",1,1,1
"2008","avepel",6,6,6
"2008","aviduetsky",4,6,6
"2008","avonensis",2,2,2
"2008","awakida",1,2,2
"2008","awendapp",14,31,36
"2008","awiladzi",5,6,28
"2008","awong",1,1,1
"2008","axeira",7,22,27
"2008","axtell",1,1,2
"2008","ayllis",1,4,4
"2008","azgulo",4,4,4
"2008","azntigress",1,1,1
"2008","azoologist",3,4,4
"2008","aztekium_tutor",23,54,54
"2008","b-l",1,1,1
"2008","b3ardown",1,1,1
"2008","b3ing",1,1,1
"2008","b_on_maui",5,5,14
"2008","bacteriamorada",1,7,7
"2008","badger8181",28,68,86
"2008","badgerseye",1,1,1
"2008","bafinnan",1,1,1
"2008","ballardluann",1,1,2
