"day","year","lat_bin","lon_bin","day_count"
1,2015,-29,33,1
1,2015,5,31,1
1,2015,15,-97,1
1,2015,17,-93,10
1,2015,19,-103,1
1,2015,23,-107,9
1,2015,33,-117,1
1,2016,-45,169,1
1,2016,11,-87,1
1,2016,17,-93,2
1,2016,19,-97,1
1,2016,21,-105,1
1,2016,21,-101,1
1,2016,23,-107,9
1,2016,27,-81,5
1,2016,29,-95,1
1,2016,37,-123,1
1,2017,-27,31,1
1,2017,13,77,1
1,2017,17,-93,1
1,2017,19,-103,1
1,2017,19,-101,1
1,2017,19,-99,9
1,2017,19,-97,1
1,2017,21,-105,9
1,2017,21,-103,1
1,2017,21,-99,1
1,2017,21,-97,1
1,2017,21,-87,1
1,2017,23,-107,20
1,2017,23,87,2
1,2017,25,-101,3
1,2017,25,-81,7
1,2017,27,-99,5
1,2017,27,-81,2
1,2017,29,-99,1
1,2017,29,-97,1
1,2017,29,-81,1
1,2017,31,-97,11
1,2017,31,-85,1
1,2017,33,-111,1
1,2017,35,-119,4
1,2017,41,-87,1
1,2018,-43,-177,1
1,2018,-35,151,1
1,2018,-25,17,1
1,2018,1,103,1
1,2018,13,101,1
1,2018,17,-93,1
1,2018,19,-99,1
1,2018,19,-95,1
1,2018,19,-75,1
1,2018,21,-103,6
1,2018,21,-101,2
1,2018,21,-89,1
1,2018,23,-107,5
1,2018,25,-81,3
1,2018,27,-81,2
1,2018,29,-81,1
1,2018,33,-117,1
1,2018,35,-119,2
1,2018,37,-123,5
1,2018,37,-121,4
1,2018,39,-123,2
1,2018,41,-73,1
1,2018,43,-121,1
2,2015,17,-99,1
2,2015,17,-93,6
2,2015,19,-101,2
2,2015,19,-99,9
2,2015,21,-105,1
2,2015,21,-101,1
2,2015,21,-99,1
2,2015,23,-107,7
2,2015,23,-99,1
2,2015,25,-81,1
2,2015,27,-81,3
2,2015,29,-93,1
2,2015,35,-121,1
2,2016,-43,147,1
2,2016,-37,175,1
2,2016,11,-87,1
2,2016,11,-85,1
2,2016,13,-87,2
2,2016,15,-61,5
2,2016,15,121,1
2,2016,17,-97,1
2,2016,17,-93,2
2,2016,17,-89,6
2,2016,19,-155,1
2,2016,19,-105,5
2,2016,19,-101,1
2,2016,19,-99,2
2,2016,21,-105,9
2,2016,21,-101,2
2,2016,23,-109,1
2,2016,23,-107,8
2,2016,31,-111,1
2,2016,33,-117,1
2,2016,33,-97,1
2,2017,-3,39,2
2,2017,13,99,4
2,2017,15,-93,1
2,2017,19,-103,1
2,2017,19,-99,8
2,2017,19,-89,1
2,2017,19,-65,1
2,2017,19,109,1
2,2017,21,-105,8
2,2017,21,-99,1
2,2017,21,-87,3
2,2017,23,-107,6
2,2017,25,-101,10
2,2017,25,-81,12
2,2017,27,-109,1
2,2017,27,-99,2
2,2017,27,-81,2
2,2017,29,-95,3
2,2017,29,-81,3
2,2017,31,-99,4
2,2017,31,-97,5
2,2017,31,-95,1
2,2017,33,-117,1
2,2017,33,-111,1
2,2017,33,-97,1
2,2017,35,-119,1
2,2017,37,-123,2
2,2018,-45,171,1
2,2018,-41,175,2
2,2018,-33,23,1
2,2018,1,103,1
2,2018,9,-79,1
2,2018,15,-97,1
2,2018,15,103,1
2,2018,19,-99,1
2,2018,19,-97,1
2,2018,19,-89,1
2,2018,21,-101,2
2,2018,23,-107,7
2,2018,23,91,1
2,2018,25,121,3
2,2018,31,-97,1
2,2018,35,-119,1
2,2018,35,-117,1
2,2018,37,-123,2
3,2015,-41,175,1
3,2015,-23,27,1
3,2015,5,31,1
3,2015,15,-97,1
3,2015,15,-91,2
3,2015,17,-97,1
3,2015,19,-103,1
3,2015,19,-97,8
3,2015,19,73,1
3,2015,21,-105,4
3,2015,21,-97,2
3,2015,21,-87,1
3,2015,23,-107,7
3,2015,25,-81,1
3,2015,31,-99,1
3,2015,33,-119,1
3,2016,-7,107,1
3,2016,13,-85,2
3,2016,15,-61,6
3,2016,17,-91,4
3,2016,19,-105,2
3,2016,19,-99,1
3,2016,19,-89,1
3,2016,21,-105,5
3,2016,21,-87,2
3,2016,23,-109,1
3,2016,23,-107,16
3,2016,27,-81,1
3,2016,31,-95,1
3,2016,33,-113,1
3,2016,33,-111,3
3,2016,33,-97,1
3,2017,-25,29,1
3,2017,1,103,1
3,2017,9,-83,1
3,2017,19,-101,1
3,2017,19,-99,4
3,2017,19,-89,1
3,2017,19,-71,7
3,2017,19,109,1
3,2017,21,-103,1
3,2017,21,-99,6
3,2017,23,-107,2
3,2017,23,87,1
3,2017,25,-101,3
3,2017,25,-99,1
3,2017,25,-81,3
3,2017,29,-101,1
3,2017,29,-95,1
3,2017,29,-81,1
3,2017,31,-109,1
3,2017,31,-97,2
3,2017,31,-87,2
3,2017,33,-119,1
3,2017,33,-111,1
3,2017,35,-117,4
3,2017,43,-71,1
3,2018,-41,175,1
3,2018,9,-83,1
3,2018,9,-79,1
3,2018,11,-85,1
3,2018,11,-75,3
3,2018,19,-101,1
3,2018,19,-99,1
3,2018,19,-97,5
3,2018,19,-75,1
3,2018,19,-71,5
3,2018,19,-67,1
3,2018,23,-107,6
3,2018,23,115,1
3,2018,29,-99,1
3,2018,29,-81,1
3,2018,33,-105,1
3,2018,35,-119,4
4,2015,-43,173,1
4,2015,-33,23,1
4,2015,-27,153,1
4,2015,9,-79,1
4,2015,13,101,1
4,2015,15,-89,1
4,2015,15,-87,1
4,2015,17,-93,3
4,2015,23,-107,6
4,2015,25,-101,1
4,2015,29,-81,2
4,2015,31,-97,1
4,2015,35,-121,1
4,2015,37,-123,2
4,2016,11,-85,1
4,2016,13,-85,1
4,2016,17,-93,1
4,2016,19,-101,1
4,2016,21,-105,6
4,2016,21,-87,6
4,2016,25,-81,1
4,2016,29,-83,1
4,2016,29,-81,1
4,2016,33,127,1
4,2016,35,-119,1
4,2017,9,-85,1
4,2017,13,99,1
4,2017,19,-101,2
4,2017,19,-99,4
4,2017,19,-71,6
4,2017,21,-101,1
4,2017,21,-87,2
4,2017,23,-107,3
4,2017,23,-101,1
4,2017,25,-101,1
4,2017,25,-99,3
4,2017,27,-97,2
4,2017,27,-83,1
4,2017,29,-81,4
4,2017,31,-109,2
4,2017,31,-91,3
4,2017,37,-123,1
4,2017,39,1,1
4,2018,-37,145,1
4,2018,-27,153,1
4,2018,1,103,4
4,2018,9,-79,12
4,2018,11,-75,2
4,2018,13,-87,1
4,2018,17,-89,1
4,2018,19,-99,6
4,2018,19,-97,2
4,2018,19,-75,1
4,2018,19,-71,7
4,2018,19,-69,9
4,2018,23,-107,2
4,2018,27,-99,5
4,2018,27,-97,1
4,2018,31,-97,1
4,2018,33,-119,5
4,2018,33,-111,5
4,2018,35,-119,1
4,2018,37,-123,2
4,2018,37,-121,1
5,2015,-43,173,1
5,2015,-41,173,1
5,2015,19,-99,1
5,2015,19,-87,1
5,2015,19,-69,1
5,2015,21,-87,2
5,2015,23,-107,7
5,2015,23,-99,1
5,2015,35,-119,1
5,2015,47,-79,1
5,2016,15,-61,4
5,2016,17,-93,1
5,2016,17,-89,1
5,2016,17,-61,1
5,2016,19,-99,1
5,2016,21,-105,4
5,2016,21,-99,1
5,2016,23,-107,3
5,2017,13,99,1
5,2017,19,-101,1
5,2017,19,-99,2
5,2017,19,-97,2
5,2017,19,-73,1
5,2017,19,-71,9
5,2017,21,-101,1
5,2017,21,-99,3
5,2017,21,-97,1
5,2017,25,-101,5
5,2017,25,-81,3
5,2017,27,-97,6
5,2017,29,-81,7
5,2017,31,-99,2
5,2017,35,-121,1
5,2017,35,-117,1
5,2017,39,-121,2
5,2018,-33,23,1
5,2018,1,35,1
5,2018,9,-79,3
5,2018,11,-75,1
5,2018,17,-97,1
5,2018,17,-93,1
5,2018,19,-101,1
5,2018,19,-99,2
5,2018,19,-75,4
5,2018,19,-69,2
5,2018,19,83,1
5,2018,21,-105,2
5,2018,21,-87,2
5,2018,23,-105,1
5,2018,25,-81,1
5,2018,27,-99,1
5,2018,27,-97,1
5,2018,27,-81,1
