"jd_wk","year","lat_bin","lon_bin","day_count"
0,2015,-43,173,2
0,2015,-41,173,1
0,2015,-41,175,1
0,2015,-33,23,1
0,2015,-29,33,1
0,2015,-27,153,1
0,2015,-23,27,1
0,2015,5,31,2
0,2015,9,-79,1
0,2015,13,101,3
0,2015,15,-97,2
0,2015,15,-91,2
0,2015,15,-89,1
0,2015,15,-87,1
0,2015,17,-99,1
0,2015,17,-97,1
0,2015,17,-93,19
0,2015,19,-103,2
0,2015,19,-101,2
0,2015,19,-99,11
0,2015,19,-97,8
0,2015,19,-91,1
0,2015,19,-87,1
0,2015,19,-69,1
0,2015,19,73,1
0,2015,21,-105,6
0,2015,21,-103,1
0,2015,21,-101,1
0,2015,21,-99,1
0,2015,21,-97,2
0,2015,21,-87,3
0,2015,23,-107,42
0,2015,23,-99,2
0,2015,25,-101,1
0,2015,25,-81,2
0,2015,25,-75,1
0,2015,27,-83,2
0,2015,27,-81,4
0,2015,29,-93,1
0,2015,29,-81,2
0,2015,31,-111,1
0,2015,31,-99,1
0,2015,31,-97,1
0,2015,33,-119,1
0,2015,33,-117,1
0,2015,35,-121,2
0,2015,35,-119,1
0,2015,37,-123,2
0,2015,37,-121,1
0,2015,39,-123,2
0,2015,47,-79,1
0,2016,-45,169,1
0,2016,-43,147,1
0,2016,-37,175,1
0,2016,-7,107,1
0,2016,11,-87,2
0,2016,11,-85,3
0,2016,13,-87,2
0,2016,13,-85,3
0,2016,15,-61,16
0,2016,15,121,1
0,2016,17,-97,1
0,2016,17,-93,7
0,2016,17,-91,4
0,2016,17,-89,7
0,2016,17,-61,1
0,2016,19,-155,1
0,2016,19,-105,7
0,2016,19,-101,2
0,2016,19,-99,4
0,2016,19,-97,1
0,2016,19,-89,1
0,2016,21,-105,37
0,2016,21,-101,3
0,2016,21,-99,1
0,2016,21,-87,8
0,2016,23,-109,3
0,2016,23,-107,37
0,2016,25,-81,1
0,2016,27,-81,6
0,2016,29,-95,1
0,2016,29,-83,1
0,2016,29,-81,1
0,2016,31,-111,1
0,2016,31,-95,1
0,2016,33,-117,1
0,2016,33,-113,1
0,2016,33,-111,6
0,2016,33,-97,2
0,2016,33,127,1
0,2016,35,-119,1
0,2016,37,-123,1
0,2017,-27,31,1
0,2017,-25,29,1
0,2017,-3,39,2
0,2017,1,103,1
0,2017,7,-75,1
0,2017,9,-85,1
0,2017,9,-83,1
0,2017,11,-85,1
0,2017,11,99,1
0,2017,13,77,1
0,2017,13,99,6
0,2017,15,-93,1
0,2017,17,-101,1
0,2017,17,-99,1
0,2017,17,-97,1
0,2017,17,-93,2
0,2017,19,-103,2
0,2017,19,-101,5
0,2017,19,-99,29
0,2017,19,-97,3
0,2017,19,-95,1
0,2017,19,-89,2
0,2017,19,-73,1
0,2017,19,-71,36
0,2017,19,-65,2
0,2017,19,109,3
0,2017,21,-105,17
0,2017,21,-103,2
0,2017,21,-101,2
0,2017,21,-99,15
0,2017,21,-97,3
0,2017,21,-87,6
0,2017,23,-107,33
0,2017,23,-101,1
0,2017,23,87,3
0,2017,25,-107,1
0,2017,25,-101,22
0,2017,25,-99,4
0,2017,25,-81,27
0,2017,27,-109,1
0,2017,27,-99,7
0,2017,27,-97,8
0,2017,27,-83,1
0,2017,27,-81,4
0,2017,29,-101,1
0,2017,29,-99,1
0,2017,29,-97,1
0,2017,29,-95,4
0,2017,29,-81,18
0,2017,31,-109,3
0,2017,31,-99,6
0,2017,31,-97,18
0,2017,31,-95,1
0,2017,31,-91,3
0,2017,31,-87,2
0,2017,31,-85,1
0,2017,33,-119,3
0,2017,33,-117,1
0,2017,33,-111,3
0,2017,33,-97,1
0,2017,35,-121,2
0,2017,35,-119,7
0,2017,35,-117,5
0,2017,37,-123,4
0,2017,39,-121,2
0,2017,39,1,1
0,2017,41,-87,1
0,2017,43,-71,1
0,2018,-45,171,1
0,2018,-43,-177,1
0,2018,-41,175,3
0,2018,-37,145,2
0,2018,-35,151,1
0,2018,-33,23,3
0,2018,-33,25,1
0,2018,-29,31,1
0,2018,-27,153,1
0,2018,-25,17,1
0,2018,-19,-63,1
0,2018,1,35,1
0,2018,1,103,6
0,2018,9,-83,4
0,2018,9,-79,18
0,2018,11,-85,3
0,2018,11,-75,6
0,2018,11,77,2
0,2018,13,-87,1
0,2018,13,101,1
0,2018,15,-97,5
0,2018,15,103,1
0,2018,17,-97,2
0,2018,17,-93,2
0,2018,17,-89,1
0,2018,19,-101,3
0,2018,19,-99,13
0,2018,19,-97,9
0,2018,19,-95,1
0,2018,19,-89,1
0,2018,19,-75,8
0,2018,19,-71,12
0,2018,19,-69,11
0,2018,19,-67,2
0,2018,19,83,1
0,2018,21,-105,2
0,2018,21,-103,8
0,2018,21,-101,4
0,2018,21,-99,2
0,2018,21,-97,1
0,2018,21,-89,3
0,2018,21,-87,2
0,2018,23,-107,26
0,2018,23,-105,1
0,2018,23,91,1
0,2018,23,115,1
0,2018,25,-81,9
0,2018,25,121,3
0,2018,27,-99,7
0,2018,27,-97,5
0,2018,27,-81,5
0,2018,29,-99,2
0,2018,29,-95,3
0,2018,29,-83,1
0,2018,29,-81,2
0,2018,31,-99,2
0,2018,31,-97,2
0,2018,33,-119,5
0,2018,33,-117,3
0,2018,33,-111,6
0,2018,33,-105,1
0,2018,33,-97,1
0,2018,35,-119,8
0,2018,35,-117,1
0,2018,35,-97,1
0,2018,37,-123,10
0,2018,37,-121,5
0,2018,39,-123,3
0,2018,41,-73,1
0,2018,43,-121,1
0,2018,45,-109,1
7,2015,-41,175,1
7,2015,-39,175,1
7,2015,-33,23,1
7,2015,-31,-65,1
7,2015,-23,29,1
7,2015,-19,33,1
7,2015,-19,177,1
7,2015,11,-85,3
7,2015,13,-85,1
7,2015,13,101,1
7,2015,15,-97,1
7,2015,15,99,2
7,2015,17,-99,1
7,2015,17,-95,1
7,2015,19,-99,12
7,2015,19,-95,2
7,2015,19,-91,4
7,2015,19,-89,2
7,2015,19,-63,1
7,2015,21,-105,7
7,2015,21,-99,2
7,2015,21,-89,15
7,2015,23,-107,32
7,2015,25,-81,3
7,2015,25,-75,1
7,2015,27,-83,1
7,2015,27,-81,11
7,2015,29,-95,1
7,2015,29,-83,5
7,2015,33,-117,2
7,2015,35,-119,1
7,2015,37,-123,6
7,2015,37,-115,3
7,2016,-31,31,1
7,2016,-29,31,1
7,2016,-25,29,1
7,2016,-1,-77,1
7,2016,7,3,1
7,2016,9,-81,2
7,2016,9,-79,1
7,2016,11,-85,1
7,2016,15,-93,3
7,2016,15,-61,18
7,2016,17,-97,1
7,2016,17,-95,1
7,2016,17,-93,5
7,2016,17,-89,8
7,2016,17,-61,1
7,2016,19,-101,1
7,2016,19,-99,3
7,2016,19,-97,2
7,2016,19,-95,9
7,2016,19,-89,5
7,2016,19,-65,1
7,2016,19,73,3
7,2016,19,99,3
7,2016,21,-105,24
7,2016,21,-99,2
7,2016,21,-89,3
7,2016,21,-87,3
7,2016,23,-109,7
7,2016,23,-107,17
7,2016,23,-81,1
7,2016,23,115,2
7,2016,23,121,2
7,2016,25,-97,1
7,2016,25,-81,13
7,2016,27,-101,1
7,2016,27,-99,2
7,2016,27,-97,6
7,2016,27,-81,3
7,2016,29,-97,3
7,2016,29,-95,3
7,2016,29,-81,10
7,2016,31,-99,4
7,2016,31,-97,11
7,2016,33,-117,2
7,2016,33,-95,1
7,2016,35,-119,1
7,2016,35,-85,1
7,2016,37,-123,2
7,2016,39,-123,1
7,2017,-41,175,5
7,2017,-39,175,1
7,2017,-29,31,1
7,2017,1,103,3
7,2017,9,-83,4
7,2017,9,-79,1
7,2017,9,99,4
7,2017,11,-85,4
7,2017,15,-93,2
7,2017,15,-87,18
7,2017,17,-93,7
7,2017,17,-91,2
7,2017,17,-89,1
7,2017,17,-85,1
7,2017,17,-77,1
7,2017,17,-67,4
7,2017,19,-105,2
7,2017,19,-103,1
7,2017,19,-101,1
7,2017,19,-99,11
7,2017,19,-97,4
7,2017,19,-89,2
7,2017,19,-77,5
7,2017,19,-71,47
7,2017,19,-69,1
7,2017,19,-65,3
7,2017,21,-105,6
7,2017,21,-103,2
7,2017,21,-101,9
7,2017,21,-99,27
7,2017,21,-89,1
7,2017,21,-87,1
7,2017,23,-107,39
7,2017,23,115,1
7,2017,25,-103,1
7,2017,25,-101,4
7,2017,25,-81,15
7,2017,27,-109,1
7,2017,27,-99,16
7,2017,27,-97,46
7,2017,27,-83,5
7,2017,27,-81,4
7,2017,29,-99,2
7,2017,29,-97,2
7,2017,29,-95,6
7,2017,29,-81,4
7,2017,31,-103,3
7,2017,31,-97,3
7,2017,31,-91,3
7,2017,31,-81,1
7,2017,33,-119,1
7,2017,33,-117,3
7,2017,33,-111,4
7,2017,33,-97,1
7,2017,35,-119,2
7,2017,35,-117,6
7,2017,37,-123,3
7,2017,39,-123,2
7,2017,41,-81,2
7,2017,41,-77,1
7,2017,43,-71,2
7,2018,-45,169,1
7,2018,-41,175,1
7,2018,-39,145,2
7,2018,-37,145,7
7,2018,-33,23,3
7,2018,-33,25,1
7,2018,-31,-65,1
7,2018,-31,31,2
7,2018,-27,29,1
7,2018,-23,29,2
7,2018,-21,33,3
7,2018,-17,-65,1
7,2018,-9,-55,1
7,2018,-7,107,1
7,2018,1,103,2
7,2018,5,-75,2
7,2018,5,-73,1
7,2018,9,-83,5
7,2018,9,-79,2
7,2018,11,-85,1
7,2018,11,-83,1
7,2018,11,-75,2
7,2018,11,103,1
7,2018,15,-97,55
7,2018,15,-91,1
7,2018,15,-61,1
7,2018,17,-93,4
7,2018,17,97,3
7,2018,19,-105,1
7,2018,19,-103,2
7,2018,19,-101,1
7,2018,19,-99,18
7,2018,19,-97,5
7,2018,19,-95,3
7,2018,19,-89,8
7,2018,19,-75,3
7,2018,19,-69,19
7,2018,19,-67,4
7,2018,19,73,1
7,2018,21,-105,18
7,2018,21,-103,2
7,2018,21,-101,4
7,2018,21,-99,2
7,2018,21,-89,1
7,2018,21,-87,6
7,2018,23,-107,7
7,2018,23,-97,1
7,2018,23,79,1
7,2018,23,121,1
7,2018,25,-107,3
7,2018,25,-101,8
7,2018,25,-97,1
7,2018,25,-81,8
7,2018,27,-99,12
7,2018,27,-97,4
7,2018,27,-83,3
7,2018,27,-81,12
7,2018,29,-99,1
7,2018,29,-97,1
7,2018,29,-95,3
7,2018,29,-83,1
7,2018,29,-81,3
7,2018,31,-99,1
7,2018,31,-97,10
7,2018,31,-85,1
7,2018,31,-81,1
7,2018,33,-119,6
7,2018,33,-117,10
7,2018,33,-115,3
7,2018,33,-113,1
7,2018,33,-111,1
7,2018,33,-97,1
7,2018,35,-121,1
7,2018,35,-119,25
7,2018,35,-111,1
7,2018,35,-79,10
7,2018,37,-123,7
7,2018,37,-121,4
7,2018,37,-119,1
7,2018,39,-123,4
7,2018,39,1,1
7,2018,41,-75,1
14,2015,-43,173,1
14,2015,-41,175,2
14,2015,-39,-71,1
14,2015,-31,29,1
14,2015,-25,31,4
14,2015,-19,147,1
14,2015,-13,29,1
14,2015,-11,41,1
14,2015,11,-85,1
14,2015,11,79,1
14,2015,19,-101,2
14,2015,19,-99,37
14,2015,21,-105,21
14,2015,21,-101,1
14,2015,21,-99,1
14,2015,21,-89,15
14,2015,23,-107,28
14,2015,23,89,2
14,2015,23,115,1
14,2015,25,-99,1
14,2015,25,-97,1
14,2015,25,-81,5
14,2015,27,-99,2
14,2015,27,-97,2
14,2015,27,-83,4
14,2015,27,-81,1
14,2015,29,-99,1
14,2015,29,-95,2
14,2015,29,-83,1
14,2015,31,-99,1
14,2015,31,-97,2
14,2015,33,-119,1
14,2015,33,-117,1
14,2015,33,-115,7
14,2015,33,-97,3
14,2015,35,-119,5
14,2015,35,-117,1
14,2015,37,-123,9
14,2015,37,-121,2
14,2016,-43,173,1
14,2016,-9,115,2
14,2016,-7,107,1
14,2016,1,103,2
14,2016,9,-85,5
14,2016,11,-85,2
14,2016,11,-83,1
14,2016,15,-61,3
14,2016,17,-97,3
14,2016,17,-93,3
14,2016,19,-105,3
14,2016,19,-99,2
14,2016,19,-97,2
14,2016,19,-95,7
14,2016,19,-89,3
14,2016,19,-87,2
14,2016,19,-77,4
14,2016,19,-71,1
14,2016,19,99,3
14,2016,21,-105,22
14,2016,21,-99,1
14,2016,21,-87,1
14,2016,21,99,2
14,2016,23,-109,9
14,2016,23,-107,12
14,2016,23,-97,1
14,2016,23,115,1
14,2016,25,-99,1
14,2016,25,-97,1
14,2016,25,-81,1
14,2016,27,-99,8
14,2016,27,-83,19
14,2016,27,-81,27
14,2016,27,-77,1
14,2016,29,-99,1
14,2016,29,-97,2
14,2016,29,-95,3
14,2016,29,-83,3
14,2016,29,-81,6
14,2016,31,-107,2
14,2016,31,-97,8
14,2016,31,-81,1
14,2016,33,-117,2
14,2016,33,-115,2
14,2016,33,-111,1
14,2016,33,-97,3
14,2016,35,-121,1
14,2016,37,-123,4
14,2016,37,-121,2
14,2016,37,-117,1
14,2016,39,-121,1
14,2016,45,11,1
14,2016,47,-123,1
14,2017,-41,175,1
14,2017,-35,175,1
14,2017,-31,31,1
14,2017,-19,15,1
14,2017,9,-85,1
14,2017,9,-83,1
14,2017,9,-79,4
14,2017,11,-85,1
14,2017,13,77,1
14,2017,13,99,2
14,2017,15,-97,8
14,2017,15,-87,1
14,2017,15,-85,3
14,2017,17,-95,1
14,2017,17,-93,2
14,2017,17,-89,2
14,2017,19,-105,3
14,2017,19,-101,1
14,2017,19,-99,13
14,2017,19,-97,3
14,2017,19,-71,24
14,2017,21,-105,10
14,2017,21,-103,1
14,2017,21,-101,4
14,2017,21,-99,36
14,2017,21,-97,2
14,2017,21,-89,2
14,2017,21,-87,1
14,2017,23,-107,13
14,2017,23,-99,1
14,2017,23,-97,1
14,2017,23,-83,1
14,2017,23,115,3
14,2017,25,-101,8
14,2017,25,-81,6
14,2017,27,-99,9
14,2017,27,-97,12
14,2017,27,-83,9
14,2017,27,-81,17
14,2017,29,-95,5
14,2017,29,-83,11
14,2017,29,-81,5
14,2017,31,-99,4
14,2017,31,-97,13
14,2017,31,-95,1
14,2017,33,-117,5
14,2017,33,-115,3
14,2017,33,-97,4
14,2017,33,-95,1
14,2017,33,-81,1
14,2017,35,-121,2
14,2017,35,-119,6
14,2017,35,-117,7
14,2017,37,-123,16
14,2017,37,-5,2
14,2017,41,-81,1
14,2017,41,1,1
14,2018,-41,173,1
14,2018,-41,175,1
14,2018,-39,177,1
14,2018,-37,145,2
14,2018,-37,147,8
14,2018,-37,175,1
14,2018,-35,23,1
14,2018,-35,151,1
14,2018,-33,23,2
14,2018,-33,25,1
14,2018,-29,31,1
14,2018,-27,29,1
14,2018,-21,-43,1
14,2018,-19,-63,1
14,2018,-17,31,1
14,2018,-15,29,2
14,2018,-7,107,1
14,2018,-7,111,2
14,2018,-1,37,1
14,2018,1,31,1
14,2018,1,103,5
14,2018,5,-73,1
14,2018,9,-85,1
14,2018,9,-83,5
14,2018,9,-81,2
14,2018,9,-79,5
14,2018,11,-85,6
14,2018,11,-75,1
14,2018,11,-73,1
14,2018,13,-85,2
14,2018,15,-97,53
