"dataset","lon","lat","landcover"
"CC",-78.779309191044,35.724098087769,6
"CC",-83.688772827533,35.639979235465,5
"CC",-78.67546810402,35.781071715192,17
"CC",-80.193097095849,32.782252065427,14
"CC",-79.049644020807,35.909876654033,17
"CC",-78.7139,35.8117,15
"CC",-77.366304214415,35.606393363404,17
"CC",-77.07900566587,38.909602349623,5
"CC",-79.0339,35.8994,17
"CC",-68.0528,44.3424,5
"CC",-71.14532216979,42.37140748221,1
"CC",-79.036950286991,35.930914233655,17
"CC",-83.191449083429,42.616025477569,17
"CC",-83.866635560989,35.957561221232,18
"CC",-85.5836,42.3604,5
"CC",-71.139992349488,42.163219926543,1
"CC",-78.981910741099,35.917063489124,17
"CC",-68.0657,44.3393,1
"CC",-77.341531666344,38.925767408682,17
"CC",-71.338917016983,42.256699363244,17
"CC",-71.099689938102,42.286004028739,17
"CC",-75.830780073317,36.38958959672,14
"CC",-84.30692999308,46.534499045766,15
"CC",-72.737066745758,41.76199706042,17
"CC",-71.305676469268,42.295625231048,17
"CC",-82.77839483345,35.349746326531,15
"CC",-81.672682605992,36.214363228894,17
"CC",-70.170192718506,41.291998909614,10
"CC",-79.010815647513,35.730187663663,1
"CC",-79.170878351185,43.81900252918,16
"CC",-78.3505,38.6157,5
"CC",-83.5848,35.2041,6
"CC",-83.1746,35.0357,6
"CC",-83.465,34.972,17
"CC",-83.4784,34.9052,17
"CC",-83.6398,35.1564,17
"CC",-83.2122,35.0275,6
"CC",-81.5224,36.7176,17
"CC",-82.0653,36.1736,17
"CC",-82.0659,36.288,17
"CC",-81.5506,36.6846,17
"CC",-81.8589,36.0494,8
"CC",-81.8108,36.0909,17
"CC",-83.1914,35.623,5
"CC",-83.174,35.628,5
"CC",-82.9594,35.7753,17
"CC",-83.0743,35.7216,17
"CC",-79.6178,37.517,17
"CC",-80.2033,37.5304,17
"CC",-79.2707,37.7387,1
"CC",-79.5683,37.5402,17
"CC",-78.1976,38.8946,5
"CC",-78.2981,38.7536,5
"CC",-78.6244,38.2907,17
"CC",-78.5134,38.3889,17
"CC",-78.775,38.1479,17
"CC",-78.389,38.5467,17
