"region","year","scientific_name","num_obs","research_grade"
"GA",2017,"Agraulis vanillae",7,1
"GA",2017,"Anisota peigleri",6,0.5
"GA",2017,"Orgyia leucostigma",5,0.8
"GA",2018,"Acharia stimulea",5,1
"GA",2018,"Halysidota tessellaris",11,1
"GA",2018,"Orgyia leucostigma",8,1
"GA",2018,"Papilio polyxenes",5,1
"MA",2015,"Lymantria dispar",5,1
"MA",2016,"Lymantria dispar",10,1
"MA",2016,"Malacosoma americana",8,1
"MA",2016,"Pyrrharctia isabella",14,1
"MA",2017,"Acronicta americana",15,1
"MA",2017,"Cucullia convexipennis",5,1
"MA",2017,"Danaus plexippus",17,1
"MA",2017,"Euchaetes egle",5,1
"MA",2017,"Hypercompe scribonia",6,1
"MA",2017,"Lymantria dispar",39,0.974358974358974
"MA",2017,"Malacosoma americana",16,1
"MA",2017,"Noctua pronuba",5,0.6
"MA",2017,"Papilio polyxenes",6,1
"MA",2017,"Pyrrharctia isabella",20,1
"MA",2017,"Spilosoma virginica",15,0.733333333333333
"MA",2018,"Acronicta americana",16,0.9375
"MA",2018,"Danaus plexippus",35,1
"MA",2018,"Euchaetes egle",9,1
"MA",2018,"Halysidota harrisii",8,0.75
"MA",2018,"Halysidota tessellaris",12,0.916666666666667
"MA",2018,"Hypercompe scribonia",17,0.823529411764706
"MA",2018,"Lophocampa caryae",8,0.75
"MA",2018,"Lymantria dispar",84,0.952380952380952
"MA",2018,"Malacosoma americana",29,1
"MA",2018,"Malacosoma disstria",20,1
"MA",2018,"Manduca sexta",14,1
"MA",2018,"Noctua pronuba",10,0.2
"MA",2018,"Orgyia leucostigma",5,1
"MA",2018,"Papilio polyxenes",21,1
"MA",2018,"Pyrrharctia isabella",94,0.98936170212766
"MA",2018,"Spilosoma virginica",29,0.413793103448276
"MA",2019,"Acronicta americana",11,0.454545454545455
"MA",2019,"Danaus plexippus",66,1
"MA",2019,"Euchaetes egle",16,1
"MA",2019,"Halysidota harrisii",9,0.444444444444444
"MA",2019,"Halysidota tessellaris",10,0.6
"MA",2019,"Hypercompe scribonia",6,0.666666666666667
"MA",2019,"Lymantria dispar",35,0.8
"MA",2019,"Malacosoma americana",56,0.928571428571429
"MA",2019,"Malacosoma disstria",23,0.956521739130435
"MA",2019,"Manduca sexta",5,1
"MA",2019,"Nadata gibbosa",8,0.625
"MA",2019,"Noctua pronuba",7,0.571428571428571
"MA",2019,"Papilio glaucus",5,0.8
"MA",2019,"Papilio polyxenes",24,1
"MA",2019,"Pyrrharctia isabella",34,0.970588235294118
"MA",2019,"Spilosoma virginica",31,0.709677419354839
"MA",2019,"Vanessa virginiensis",5,0.8
"MD",2015,"Danaus plexippus",10,1
"MD",2015,"Euchaetes egle",8,1
"MD",2015,"Hypercompe scribonia",5,0.8
"MD",2015,"Hyphantria cunea",5,1
"MD",2015,"Malacosoma americana",19,1
"MD",2015,"Papilio polyxenes",8,1
"MD",2015,"Pyrrharctia isabella",6,1
"MD",2015,"Spilosoma virginica",11,0.454545454545455
"MD",2016,"Acharia stimulea",8,1
"MD",2016,"Acronicta americana",7,1
"MD",2016,"Anisota senatoria",12,0.666666666666667
"MD",2016,"Antheraea polyphemus",5,1
"MD",2016,"Ceratomia catalpae",6,1
"MD",2016,"Danaus plexippus",27,1
"MD",2016,"Euchaetes egle",13,1
"MD",2016,"Euptoieta claudia",20,1
"MD",2016,"Halysidota tessellaris",8,1
"MD",2016,"Hypercompe scribonia",22,0.954545454545455
"MD",2016,"Hyphantria cunea",18,1
"MD",2016,"Lymantria dispar",5,1
"MD",2016,"Malacosoma americana",63,0.920634920634921
"MD",2016,"Malacosoma disstria",10,1
"MD",2016,"Manduca sexta",7,1
"MD",2016,"Papilio glaucus",11,1
"MD",2016,"Papilio polyxenes",11,1
"MD",2016,"Pyrrharctia isabella",33,0.939393939393939
"MD",2016,"Saucrobotys futilalis",6,0.5
"MD",2016,"Spilosoma virginica",18,0.333333333333333
"MD",2017,"Acharia stimulea",14,1
"MD",2017,"Acronicta americana",19,0.947368421052632
"MD",2017,"Acronicta insularis",5,1
"MD",2017,"Acronicta oblinita",10,0.9
"MD",2017,"Anisota senatoria",15,0.933333333333333
