"cell","mean_obs_days","jd_wk","year","year3"
335.1,1,175,2017,1
335.1,1,189,2017,1
335.1,1,196,2017,2019
335.1,1.42857142857143,217,2018,1.42857142857143
335.1,1.42857142857143,252,2018,1.42857142857143
335.1,1.71428571428571,147,2018,1.71428571428571
335.1,1.85714285714286,154,2018,1.85714285714286
335.1,2.14285714285714,161,2018,2.14285714285714
335.1,2.14285714285714,182,2019,182
335.1,2.57142857142857,189,2019,189
335.1,2.28571428571429,203,2019,203
335.1,2.28571428571429,210,2019,210
417.1,1.57142857142857,168,2017,NA
417.1,1.71428571428571,175,2017,NA
417.1,2.14285714285714,182,2017,NA
417.1,2.42857142857143,189,2017,NA
417.1,3.28571428571429,196,2017,NA
417.1,4.42857142857143,203,2017,NA
417.1,7.14285714285714,210,2017,NA
417.1,7.28571428571429,217,2017,NA
417.1,8.42857142857143,224,2017,NA
417.1,8.71428571428571,231,2017,NA
417.1,8.42857142857143,238,2017,NA
417.1,8.42857142857143,245,2017,NA
417.1,8,252,2017,NA
417.1,5.42857142857143,259,2017,NA
417.1,5.14285714285714,266,2017,NA
417.1,3.85714285714286,273,2017,NA
417.1,3.14285714285714,280,2017,NA
417.1,3,287,2017,NA
417.1,2.14285714285714,301,2017,NA
417.1,1.42857142857143,315,2017,NA
417.1,1.42857142857143,21,2017,NA
417.1,1.14285714285714,35,2017,NA
417.1,1.14285714285714,84,2017,NA
417.1,1.28571428571429,105,2018,NA
417.1,1.42857142857143,112,2018,NA
417.1,1.42857142857143,119,2018,NA
417.1,1.85714285714286,126,2018,NA
417.1,2,133,2018,NA
417.1,2,140,2018,NA
417.1,2.28571428571429,154,2018,NA
417.1,2.85714285714286,161,2018,NA
417.1,3.57142857142857,168,2018,NA
417.1,4.71428571428571,182,2018,NA
417.1,5.57142857142857,189,2018,NA
417.1,6.85714285714286,196,2018,NA
417.1,7.57142857142857,203,2018,NA
417.1,8.28571428571429,210,2018,NA
417.1,9.57142857142857,217,2018,NA
417.1,9.71428571428571,224,2018,NA
417.1,9.14285714285714,231,2018,NA
417.1,8.71428571428571,238,2018,NA
417.1,7.85714285714286,245,2018,NA
417.1,7.71428571428571,252,2018,NA
417.1,7,259,2018,NA
417.1,6,266,2018,NA
417.1,5.42857142857143,273,2018,NA
417.1,5,280,2018,NA
417.1,4.28571428571429,287,2018,NA
417.1,3.57142857142857,294,2018,NA
417.1,3,308,2018,NA
417.1,2.71428571428571,315,2018,NA
417.1,1.71428571428571,350,2018,NA
417.1,1.28571428571429,0,2018,NA
417.1,1.42857142857143,56,2018,NA
417.1,1.28571428571429,77,2018,NA
417.1,1.42857142857143,98,2019,NA
417.1,1.85714285714286,105,2019,NA
417.1,2.28571428571429,119,2019,NA
417.1,2.42857142857143,133,2019,NA
417.1,3.28571428571429,140,2019,NA
417.1,4,147,2019,NA
417.1,5.57142857142857,154,2019,NA
