"class","order","taxon_name","total_obs"
"Actinopterygii","Acipenseriformes","Acipenser brevirostrum",4
"Actinopterygii","Acipenseriformes","Acipenser fulvescens",18
"Actinopterygii","Acipenseriformes","Acipenser medirostris",1
"Actinopterygii","Acipenseriformes","Acipenser naccarii",2
"Actinopterygii","Acipenseriformes","Acipenser oxyrinchus",8
"Actinopterygii","Acipenseriformes","Acipenser sturio",1
"Actinopterygii","Acipenseriformes","Acipenser transmontanus",14
"Actinopterygii","Acipenseriformes","Polyodon spathula",8
"Actinopterygii","Acipenseriformes","Scaphirhynchus platorynchus",2
"Actinopterygii","Albuliformes","Albula goreensis",5
"Actinopterygii","Albuliformes","Albula vulpes",13
"Actinopterygii","Amiiformes","Amia calva",151
"Actinopterygii","Anguilliformes","Anguilla anguilla",72
"Actinopterygii","Anguilliformes","Anguilla australis",79
"Actinopterygii","Anguilliformes","Anguilla bicolor",1
"Actinopterygii","Anguilliformes","Anguilla dieffenbachii",97
"Actinopterygii","Anguilliformes","Anguilla japonica",6
"Actinopterygii","Anguilliformes","Anguilla marmorata",9
"Actinopterygii","Anguilliformes","Anguilla reinhardtii",50
"Actinopterygii","Anguilliformes","Anguilla rostrata",156
"Actinopterygii","Anguilliformes","Aprognathodon platyventris",2
"Actinopterygii","Anguilliformes","Apterichtus klazingai",1
"Actinopterygii","Anguilliformes","Ariosoma anagoides",1
"Actinopterygii","Anguilliformes","Ariosoma balearicum",8
"Actinopterygii","Anguilliformes","Brachysomophis cirrocheilos",3
"Actinopterygii","Anguilliformes","Brachysomophis henshawi",3
"Actinopterygii","Anguilliformes","Callechelys lutea",2
"Actinopterygii","Anguilliformes","Callechelys marmorata",1
"Actinopterygii","Anguilliformes","Cirrhimuraena calamus",1
"Actinopterygii","Anguilliformes","Conger cinereus",1
"Actinopterygii","Anguilliformes","Conger conger",24
"Actinopterygii","Anguilliformes","Conger marginatus",2
"Actinopterygii","Anguilliformes","Conger oceanicus",4
"Actinopterygii","Anguilliformes","Conger verreauxi",17
"Actinopterygii","Anguilliformes","Conger wilsoni",10
"Actinopterygii","Anguilliformes","Cynoponticus ferox",10
"Actinopterygii","Anguilliformes","Echidna catenata",25
"Actinopterygii","Anguilliformes","Echidna nebulosa",90
"Actinopterygii","Anguilliformes","Echidna nocturna",4
"Actinopterygii","Anguilliformes","Echidna polyzona",1
"Actinopterygii","Anguilliformes","Echiophis brunneus",3
"Actinopterygii","Anguilliformes","Echiophis intertinctus",2
"Actinopterygii","Anguilliformes","Echiophis punctifer",2
"Actinopterygii","Anguilliformes","Enchelycore lichenosa",1
"Actinopterygii","Anguilliformes","Enchelycore pardalis",3
"Actinopterygii","Anguilliformes","Enchelycore ramosa",3
"Actinopterygii","Anguilliformes","Gnathophis habenatus",4
"Actinopterygii","Anguilliformes","Gorgasia maculata",2
"Actinopterygii","Anguilliformes","Gymnomuraena zebra",29
"Actinopterygii","Anguilliformes","Gymnothorax afer",2
"Actinopterygii","Anguilliformes","Gymnothorax annasona",3
"Actinopterygii","Anguilliformes","Gymnothorax breedeni",1
"Actinopterygii","Anguilliformes","Gymnothorax castaneus",11
"Actinopterygii","Anguilliformes","Gymnothorax chilospilus",1
"Actinopterygii","Anguilliformes","Gymnothorax cribroris",10
"Actinopterygii","Anguilliformes","Gymnothorax enigmaticus",4
"Actinopterygii","Anguilliformes","Gymnothorax equatorialis",2
"Actinopterygii","Anguilliformes","Gymnothorax eurostus",35
"Actinopterygii","Anguilliformes","Gymnothorax favagineus",17
"Actinopterygii","Anguilliformes","Gymnothorax fimbriatus",6
"Actinopterygii","Anguilliformes","Gymnothorax flavimarginatus",51
"Actinopterygii","Anguilliformes","Gymnothorax funebris",113
"Actinopterygii","Anguilliformes","Gymnothorax griseus",12
"Actinopterygii","Anguilliformes","Gymnothorax javanicus",72
"Actinopterygii","Anguilliformes","Gymnothorax kidako",1
"Actinopterygii","Anguilliformes","Gymnothorax melatremus",11
"Actinopterygii","Anguilliformes","Gymnothorax meleagris",62
"Actinopterygii","Anguilliformes","Gymnothorax miliaris",34
"Actinopterygii","Anguilliformes","Gymnothorax mordax",10
"Actinopterygii","Anguilliformes","Gymnothorax moringa",73
"Actinopterygii","Anguilliformes","Gymnothorax nigromarginatus",1
"Actinopterygii","Anguilliformes","Gymnothorax nubilus",4
"Actinopterygii","Anguilliformes","Gymnothorax nudivomer",7
"Actinopterygii","Anguilliformes","Gymnothorax ocellatus",1
"Actinopterygii","Anguilliformes","Gymnothorax phalarus",1
"Actinopterygii","Anguilliformes","Gymnothorax pictus",26
"Actinopterygii","Anguilliformes","Gymnothorax polyuranodon",2
"Actinopterygii","Anguilliformes","Gymnothorax porphyreus",2
"Actinopterygii","Anguilliformes","Gymnothorax prasinus",108
"Actinopterygii","Anguilliformes","Gymnothorax pseudoherrei",1
"Actinopterygii","Anguilliformes","Gymnothorax pseudothyrsoideus",16
"Actinopterygii","Anguilliformes","Gymnothorax reevesii",2
"Actinopterygii","Anguilliformes","Gymnothorax richardsonii",1
"Actinopterygii","Anguilliformes","Gymnothorax rueppelliae",5
"Actinopterygii","Anguilliformes","Gymnothorax thyrsoideus",44
"Actinopterygii","Anguilliformes","Gymnothorax undulatus",17
"Actinopterygii","Anguilliformes","Gymnothorax vicinus",3
"Actinopterygii","Anguilliformes","Gymnothorax woodwardi",1
"Actinopterygii","Anguilliformes","Heteroconger hassi",15
"Actinopterygii","Anguilliformes","Heteroconger longissimus",9
"Actinopterygii","Anguilliformes","Heteroconger perissodon",2
"Actinopterygii","Anguilliformes","Heteroconger polyzona",1
"Actinopterygii","Anguilliformes","Heteroconger taylori",1
"Actinopterygii","Anguilliformes","Leiuranus versicolor",2
"Actinopterygii","Anguilliformes","Muraena argus",2
"Actinopterygii","Anguilliformes","Muraena clepsydra",2
"Actinopterygii","Anguilliformes","Muraena helena",67
"Actinopterygii","Anguilliformes","Muraena lentiginosa",22
"Actinopterygii","Anguilliformes","Myrichthys breviceps",15
"Actinopterygii","Anguilliformes","Myrichthys colubrinus",12
"Actinopterygii","Anguilliformes","Myrichthys maculosus",5
"Actinopterygii","Anguilliformes","Myrichthys magnificus",1
"Actinopterygii","Anguilliformes","Myrichthys ocellatus",8
"Actinopterygii","Anguilliformes","Myrichthys tigrinus",12
"Actinopterygii","Anguilliformes","Myrophis punctatus",2
"Actinopterygii","Anguilliformes","Ophichthus altipennis",11
"Actinopterygii","Anguilliformes","Ophichthus bonaparti",8
"Actinopterygii","Anguilliformes","Ophichthus cephalozona",2
"Actinopterygii","Anguilliformes","Ophichthus gomesii",8
"Actinopterygii","Anguilliformes","Ophichthus lithinus",1
"Actinopterygii","Anguilliformes","Ophisurus serpens",6
"Actinopterygii","Anguilliformes","Pisodonophis boro",1
"Actinopterygii","Anguilliformes","Pisodonophis semicinctus",1
"Actinopterygii","Anguilliformes","Rhinomuraena quaesita",27
"Actinopterygii","Anguilliformes","Scolecenchelys breviceps",3
"Actinopterygii","Anguilliformes","Scuticaria tigrina",2
"Actinopterygii","Atheriniformes","Atherina boyeri",10
"Actinopterygii","Atheriniformes","Atherina hepsetus",12
"Actinopterygii","Atheriniformes","Atherina presbyter",11
