"user.login","all_obs","shannonH","shannonE"
"_____ae",710,1.64674172914099,0.325276210796657
"_roby_g",3,0.636514168294813,0.125728833561122
"_wasp_",25,1.47600981212405,0.29155202075121
"a-azarchs",14,0.895332665968091,0.176852515385329
"a-tanguay",69,1.83949321884949,0.36334986441719
"a_blender",8,0.735621939758795,0.145305309818344
"a_calidris",963,1.51645305395582,0.299540659298817
"a_cicchi",11,1.41427906512471,0.279358521844695
"a_cuell",103,1.47131525838824,0.290624718902024
"a_dellas",192,0.579763003345017,0.114518937336051
"a_laughlin",1,0,0
"a_meza",8,0.900256051268537,0.177825017682733
"a_monter",438,1.62246710151159,0.320481312632566
"a_wade",133,1.56266506661472,0.308668786742832
"a0140555lshaw19",2,0.693147180559945,0.136915391422392
"a0141147nwinnietan19",2,0,0
"a1a",5,0.950270539233235,0.187704237260522
"a1guerra",5,1.05492016798614,0.208375380828239
"a24",2440,0.306535100677932,0.0605490067205024
"a3d3vyth",42,1.76140070937195,0.347924473097504
"a5sabatini",41,1.83754577536611,0.362965191444007
"a8a",13,1.09059947377948,0.21542301263773
"aabacks",535,2.30086820180964,0.454483952755338
"aacocucci",266,1.08454048003883,0.214226196834545
"aacosta160",1,0,0
"aadarsh",3,0.636514168294813,0.125728833561122
"aaellig",8,0,0
"aaesparza",3,0,0
"aaharr4",1,0,0
"aajdec",213,1.62302848875272,0.320592201857847
"aalbertrebergen",3036,0.19062596304624,0.0376538043834534
"aalighieri",44,1.99395327205251,0.393859919476971
"aallaet",4,0.693147180559945,0.136915391422392
"aanchalmohan",1,0,0
"aandroski",54,1.90224616771584,0.375745275951585
"aaohler",751,1.26590935991154,0.250051475903781
"aaos",1,0,0
"aaranda",30,1.67458956699991,0.330776915015985
"aarati",3,0.636514168294813,0.125728833561122
"aarft",326,0.685418931298167,0.135388852323104
"aarmesto",52,1.76086397162864,0.347818452817429
"aarnold101",10,1.35923670066501,0.26848616012099
"aaroale",21,0.501046913759097,0.0989703720108769
"aaroms",93,1.76128897129943,0.347902401793797
"aaron_brees",139,0.675228881295202,0.133376040724213
"aaron_echols",1664,1.36311505939994,0.269252241292727
"aaron258",1,0,0
"aaronbeamish",5,0.673011667009257,0.132938080691565
"aaronboone",65,1.75033938972398,0.34573956208333
"aaronca",153,1.86176946240139,0.367750027457406
"aaroncarlson",4012,1.5968736691779,0.315425914725617
"aaroniemma",236,1.16731930144941,0.230577262023555
"aaronliston",423,1.7323398991874,0.342184173904114
"aaronmackinnon",1,0,0
"aaronmoslow",13,1.30387552933639,0.257550825383082
"aaronmz",38,1.37583167362659,0.271764117937747
"aaronr",542,0.971872348039207,0.191971181123314
"aaronramon",24,1.75412825149904,0.346487965175091
"aaronruben",419,1.24814785879711,0.246543097098333
"aaronsizer",34,1.92001257478684,0.379254623816681
"aaronstiles",101,2.04253254953186,0.403455646009002
"aaronthearcher",13,1.77823330579971,0.351249368001787
"aaronzammit",3,1.09861228866811,0.217005761176051
"aarti1",5,0,0
"aaustin437",5,0,0
"aautumn702",4,0,0
"ab9",2,0.693147180559945,0.136915391422392
"abadoo",288,1.64210142492244,0.324359624700341
"abalay",184,1.77133411168844,0.349886589808734
"aballance",20,0.914285581467099,0.180596230886048
