"user.login","all_obs","shannonH","shannonE"
"_____ae",291,1.36377001552882,0.423678976676481
"_bookended_",1,0,0
"_cory_",1,0,0
"_flob_",2,0,0
"_floranfauna_",6,0,0
"_forte_",3,0.636514168294813,0.197744244551862
"_isabella_",1,0,0
"_julia_",1,0,0
"_lucci_gucci",2,0.693147180559945,0.215338279036697
"_michelle",1,0,0
"_r_",1,0,0
"_wasp_",3,1.09861228866811,0.341303097242993
"a-a-ron",2,0,0
"a-b",4,1.03972077083992,0.323007418555045
"a-diggy",1,0,0
"a-elbereth",1,0,0
"a-f-allen",3,0.636514168294813,0.197744244551862
"a-hew",22,1.92153253594294,0.596957646237136
"a-karina",1,0,0
"a-mbratton",2,0.693147180559945,0.215338279036697
"a-mie",1,0,0
"a-money",1,0,0
"a-noel",1,0,0
"a-o",3,1.09861228866811,0.341303097242993
"a-tanguay",31,1.07308374644396,0.33337220968687
"a-tristis",4,0.562335144618808,0.174699235141149
"a-warnke",4,1.03972077083992,0.323007418555045
"a-zhou",1,0,0
"a__l__a__n",1,0,0
"a_1",1,0,0
"a_24688642",2,0,0
"a_allen",1,0,0
"a_anctil",107,1.03744642095845,0.32230085203766
"a_angel2798",1,0,0
"a_awesome",49,2.00559693203998,0.62307371926101
"a_ayala_",7,1.5498260458782,0.481480532397257
"a_b",14,1.05472091690681,0.327667475942474
"a_beauchamp",2,0.693147180559945,0.215338279036697
"a_biologist_has_no_name",1,0,0
"a_blender",6,1.56071040904141,0.484861949934124
"a_bloodfly",1,0,0
"a_boy",1,0,0
"a_brown",7,1.47507631105469,0.458258221599801
"a_c",5,0.950270539233235,0.295218141654204
"a_calidris",161,1.59125947720424,0.494352551568029
"a_cannon13",1,0,0
"a_cicchi",1,0,0
"a_clarke",1,0,0
"a_coturnix",25,1.57857741718043,0.490412648100543
"a_cuell",48,1.80012649116001,0.559240737791964
"a_dellas",1,0,0
"a_dewit80",3,1.09861228866811,0.341303097242993
"a_distant_isle",1,0,0
"a_e_stewart",1,0,0
"a_emerson",1,0,0
"a_emmerson",1408,1.61637484752022,0.50215508005389
"a_fine_addition_to_my_collection",20,1.40238901153277,0.435676642353917
"a_galloway",4,1.38629436111989,0.430676558073393
"a_gaudet",4,0.562335144618808,0.174699235141149
"a_guy",1,0,0
"a_hodgins",1,0,0
"a_huenulefalonso",1,0,0
"a_human",3,0.636514168294813,0.197744244551862
"a_johnson76",1,0,0
"a_kellman",2,0.693147180559945,0.215338279036697
"a_klais",3,0,0
"a_lofty",1,0,0
"a_mackenzie",42,1.65636369454873,0.514578313879675
"a_maloney",3,0.636514168294813,0.197744244551862
"a_mccarthy",1,0,0
"a_meding21",2,0,0
"a_meyer",48,1.00031495701232,0.310765314177126
"a_meza",2,0,0
"a_mf98",2,0,0
"a_mish22",1,0,0
"a_monter",24,1.13457254772458,0.352474779846793
"a_n_o_m_i_m_u_s",4,0.562335144618808,0.174699235141149
"a_neil_osu",9,1.21488965394912,0.377426691816813
"a_nubbs",1,0,0
"a_pine_line",7,1.47507631105469,0.458258221599801
"a_poisson",1,0,0
"a_proudnerd",2,0.693147180559945,0.215338279036697
"a_pyles",1,0,0
"a_ramirez",1,0,0
"a_riley",22,0.822560771525768,0.255542871573633
"a_rose",15,1.62166791711235,0.503799464578212
"a_s_h_k_e_t_t_l_e",2,0,0
"a_sam",30,1.28128688528055,0.398054151508939
"a_sanchezp",4,0,0
"a_sawyer",1,0,0
"a_sim_one",1,0,0
"a_smith",25,1.62287608333259,0.504174802517908
"a_sonner",1,0,0
