"obs_days","count"
1,397369
2,75861
3,29652
4,15567
5,9126
6,5928
7,4117
8,2903
9,2224
10,1729
11,1364
12,1072
13,863
14,695
15,612
16,514
17,393
18,382
19,304
20,297
21,255
22,205
23,195
24,172
25,141
26,145
27,105
28,114
29,89
30,89
31,81
32,62
33,61
34,66
35,46
36,51
37,55
38,33
39,30
40,49
41,38
42,35
43,22
44,24
45,26
46,22
47,16
48,24
49,24
50,19
51,18
52,10
53,17
54,18
55,13
56,8
57,12
58,12
59,10
60,15
61,10
62,9
63,16
64,11
65,5
66,6
67,5
68,11
69,6
70,9
71,7
72,3
73,5
74,6
75,9
76,3
77,3
78,4
79,5
80,4
81,1
82,1
83,1
84,6
86,1
87,4
88,3
89,3
90,1
91,1
92,4
93,1
94,1
95,2
96,1
97,2
98,1
99,2
102,2
105,1
106,4
107,2
108,2
109,1
110,1
112,1
113,1
114,2
115,1
116,1
118,1
119,1
120,1
125,1
126,1
129,1
136,1
140,1
142,1
143,1
151,1
152,1
160,1
161,1
178,1
289,1
300,1
