"cell","year","jd_wk","obs_days"
90.1,2019,224,1
114.1,2017,189,1
114.1,2017,210,1
114.1,2017,259,1
114.1,2018,266,1
114.1,2019,189,1
115.1,2017,154,1
115.1,2017,210,1
115.1,2017,217,2
115.1,2018,203,1
115.1,2018,210,1
115.1,2019,175,2
115.1,2019,189,1
115.1,2019,196,2
115.1,2019,203,1
115.1,2019,210,1
115.1,2019,217,1
115.1,2019,224,1
116.1,2017,189,1
116.1,2018,252,1
116.1,2019,168,1
116.1,2019,175,2
116.1,2019,182,1
116.1,2019,189,2
116.1,2019,196,4
116.1,2019,203,2
116.1,2019,210,3
116.1,2019,217,3
116.1,2019,224,1
116.1,2019,231,1
118.1,2019,210,1
143.1,2017,259,1
143.1,2019,182,1
144.1,2019,189,1
146.1,2019,196,1
171.1,2018,161,1
171.1,2018,175,1
171.1,2018,182,1
172.1,2018,210,1
172.1,2018,224,1
172.1,2019,154,1
173.1,2018,238,1
198.1,2017,140,2
198.1,2018,126,1
198.1,2018,133,1
198.1,2019,77,1
198.1,2019,84,1
198.1,2019,224,1
199.1,2017,154,1
199.1,2017,196,1
199.1,2017,210,1
199.1,2018,133,1
199.1,2018,140,1
199.1,2018,175,1
199.1,2018,182,2
199.1,2019,154,2
199.1,2019,182,1
199.1,2019,196,2
199.1,2019,203,1
199.1,2019,210,1
200.1,2018,210,1
201.1,2017,210,2
227.1,2018,189,1
227.1,2019,189,13
254.1,2019,196,1
254.1,2019,203,3
255.1,2019,217,1
258.1,2018,224,1
280.1,2017,266,1
280.1,2017,273,1
280.1,2017,294,1
280.1,2018,273,5
280.1,2019,175,1
280.1,2019,182,6
280.1,2019,189,2
281.1,2019,175,3
282.1,2019,203,3
284.1,2019,189,1
285.1,2017,154,1
285.1,2017,189,3
285.1,2017,217,1
285.1,2017,224,1
285.1,2018,182,1
285.1,2018,210,2
285.1,2019,182,1
285.1,2019,217,2
287.1,2018,203,1
307.1,2017,182,1
307.1,2018,168,2
307.1,2019,182,1
308.1,2019,189,1
309.1,2017,238,1
309.1,2019,168,1
309.1,2019,196,2
309.1,2019,203,1
309.1,2019,210,3
309.1,2019,217,1
309.1,2019,224,1
310.1,2018,245,2
310.1,2019,203,2
310.1,2019,224,1
312.1,2019,147,1
312.1,2019,224,2
335.1,2017,0,1
335.1,2017,217,1
335.1,2017,238,1
335.1,2018,175,1
335.1,2018,189,1
335.1,2018,196,1
335.1,2018,217,1
335.1,2018,252,1
335.1,2019,147,1
335.1,2019,154,4
335.1,2019,161,1
335.1,2019,182,3
335.1,2019,189,2
335.1,2019,203,3
335.1,2019,210,1
335.1,2019,217,4
335.1,2019,224,2
335.1,2019,231,1
336.1,2017,154,1
336.1,2018,182,1
336.1,2018,210,1
336.1,2018,224,1
336.1,2018,273,1
336.1,2019,140,6
336.1,2019,182,1
336.1,2019,189,1
336.1,2019,196,1
336.1,2019,203,2
336.1,2019,210,2
336.1,2019,217,1
336.1,2019,231,2
337.1,2017,231,1
337.1,2017,266,1
337.1,2018,175,1
337.1,2018,189,1
339.1,2018,196,1
339.1,2019,203,2
340.1,2018,238,1
362.1,2017,133,1
362.1,2018,182,1
362.1,2018,210,1
362.1,2018,217,1
362.1,2018,224,1
362.1,2018,238,2
362.1,2018,252,1
362.1,2019,42,1
362.1,2019,126,2
362.1,2019,147,1
362.1,2019,154,1
362.1,2019,161,1
362.1,2019,196,1
362.1,2019,203,3
362.1,2019,224,3
362.1,2019,231,2
363.1,2017,140,1
363.1,2017,147,1
363.1,2017,161,1
363.1,2017,168,2
363.1,2017,182,1
363.1,2017,189,5
363.1,2017,203,4
363.1,2017,210,6
363.1,2017,217,3
363.1,2017,224,9
363.1,2017,231,6
363.1,2017,238,2
363.1,2017,245,1
363.1,2017,252,2
363.1,2017,259,1
363.1,2017,266,2
363.1,2017,280,1
363.1,2017,301,1
363.1,2017,315,1
363.1,2018,161,1
363.1,2018,168,1
363.1,2018,175,1
363.1,2018,182,6
363.1,2018,189,3
363.1,2018,196,7
363.1,2018,203,4
363.1,2018,210,6
363.1,2018,217,5
363.1,2018,224,11
363.1,2018,231,13
363.1,2018,238,6
363.1,2018,245,5
363.1,2018,252,1
363.1,2018,259,2
363.1,2018,266,6
363.1,2018,273,3
363.1,2018,280,3
363.1,2018,287,5
363.1,2018,294,1
363.1,2018,308,2
363.1,2019,91,1
363.1,2019,112,1
363.1,2019,119,2
363.1,2019,140,5
363.1,2019,147,1
363.1,2019,154,3
363.1,2019,161,7
363.1,2019,168,3
363.1,2019,175,6
363.1,2019,182,6
363.1,2019,189,9
363.1,2019,196,24
363.1,2019,203,19
363.1,2019,210,29
363.1,2019,217,25
363.1,2019,224,18
363.1,2019,231,18
363.1,2019,238,1
364.1,2017,252,1
364.1,2017,259,1
364.1,2017,266,2
364.1,2017,287,1
364.1,2018,168,1
364.1,2018,196,1
364.1,2018,210,2
364.1,2018,217,1
364.1,2018,224,3
364.1,2018,252,1
364.1,2019,119,1
364.1,2019,126,1
364.1,2019,140,5
364.1,2019,147,1
364.1,2019,161,1
364.1,2019,189,2
364.1,2019,203,3
364.1,2019,210,2
364.1,2019,217,6
364.1,2019,224,1
364.1,2019,231,2
365.1,2017,140,1
365.1,2017,210,1
365.1,2017,252,1
365.1,2017,259,2
365.1,2018,154,2
365.1,2018,203,1
365.1,2018,259,1
365.1,2018,266,1
365.1,2019,196,1
365.1,2019,203,1
365.1,2019,210,2
366.1,2017,161,1
366.1,2017,189,1
366.1,2017,217,1
366.1,2018,196,2
366.1,2018,203,1
366.1,2018,217,2
366.1,2018,224,2
366.1,2018,231,3
366.1,2019,203,2
366.1,2019,210,2
366.1,2019,217,4
366.1,2019,231,6
370.1,2019,203,1
389.1,2017,175,1
389.1,2017,196,1
389.1,2017,210,1
389.1,2017,217,2
389.1,2017,231,1
389.1,2017,238,1
389.1,2017,245,2
389.1,2017,252,1
389.1,2017,259,1
389.1,2017,266,2
389.1,2018,147,1
389.1,2018,175,2
389.1,2018,182,1
389.1,2018,189,1
389.1,2018,196,1
389.1,2018,203,3
389.1,2018,210,1
389.1,2018,217,1
389.1,2018,224,1
389.1,2018,231,3
389.1,2018,238,1
389.1,2018,245,2
389.1,2018,259,3
389.1,2018,266,1
389.1,2018,287,3
389.1,2018,308,1
389.1,2019,175,1
389.1,2019,196,1
389.1,2019,210,1
389.1,2019,217,1
389.1,2019,224,2
389.1,2019,231,2
390.1,2017,133,1
390.1,2017,140,2
390.1,2017,154,3
390.1,2017,161,6
390.1,2017,168,2
390.1,2017,182,1
390.1,2017,196,5
390.1,2017,203,4
390.1,2017,210,9
390.1,2017,217,8
390.1,2017,224,10
390.1,2017,231,16
390.1,2017,238,6
390.1,2017,245,6
390.1,2017,252,5
390.1,2017,259,3
390.1,2017,266,8
390.1,2017,273,6
390.1,2017,280,6
390.1,2017,287,2
390.1,2017,294,4
390.1,2017,301,6
390.1,2017,308,3
390.1,2017,315,1
390.1,2017,322,1
390.1,2017,336,1
390.1,2017,343,1
390.1,2018,63,1
390.1,2018,70,1
390.1,2018,112,3
390.1,2018,126,1
390.1,2018,133,2
390.1,2018,140,2
390.1,2018,147,2
390.1,2018,154,2
390.1,2018,161,2
390.1,2018,168,5
390.1,2018,175,3
390.1,2018,182,6
390.1,2018,189,7
390.1,2018,196,6
390.1,2018,203,10
390.1,2018,210,17
390.1,2018,217,24
390.1,2018,224,28
390.1,2018,231,18
390.1,2018,238,15
390.1,2018,245,13
390.1,2018,252,11
390.1,2018,259,24
390.1,2018,266,11
390.1,2018,273,7
390.1,2018,280,9
390.1,2018,287,8
390.1,2018,294,3
390.1,2018,301,7
390.1,2018,308,3
390.1,2018,315,2
390.1,2018,322,2
390.1,2018,343,2
390.1,2019,56,1
390.1,2019,98,1
390.1,2019,112,2
390.1,2019,119,1
