STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00311677,"CHAPEL HILL 2 W, NC US",5/12/2019,0.26,81,65
USC00311677,"CHAPEL HILL 2 W, NC US",5/13/2019,0,75,64
USC00311677,"CHAPEL HILL 2 W, NC US",5/14/2019,0.65,76,49
USC00311677,"CHAPEL HILL 2 W, NC US",5/15/2019,0,67,43
USC00311677,"CHAPEL HILL 2 W, NC US",5/16/2019,0,72,43
USC00311677,"CHAPEL HILL 2 W, NC US",5/17/2019,0,80,50
USC00311677,"CHAPEL HILL 2 W, NC US",5/18/2019,0,86,60
USC00311677,"CHAPEL HILL 2 W, NC US",5/19/2019,0,91,63
USC00311677,"CHAPEL HILL 2 W, NC US",5/20/2019,0,89,68
USC00311677,"CHAPEL HILL 2 W, NC US",5/21/2019,0,89,64
USC00311677,"CHAPEL HILL 2 W, NC US",5/22/2019,0,86,63
USC00311677,"CHAPEL HILL 2 W, NC US",5/23/2019,0,77,63
USC00311677,"CHAPEL HILL 2 W, NC US",5/24/2019,0,84,67
USC00311677,"CHAPEL HILL 2 W, NC US",5/25/2019,0,93,71
USC00311677,"CHAPEL HILL 2 W, NC US",5/26/2019,0.35,92,71
USC00311677,"CHAPEL HILL 2 W, NC US",5/27/2019,0,92,68
USC00311677,"CHAPEL HILL 2 W, NC US",5/28/2019,0,89,68
USC00311677,"CHAPEL HILL 2 W, NC US",5/29/2019,0,96,69
USC00311677,"CHAPEL HILL 2 W, NC US",5/30/2019,0,95,66
USC00311677,"CHAPEL HILL 2 W, NC US",5/31/2019,0,94,70
USC00311677,"CHAPEL HILL 2 W, NC US",6/1/2019,0.39,88,60
USC00311677,"CHAPEL HILL 2 W, NC US",6/2/2019,0,83,60
USC00311677,"CHAPEL HILL 2 W, NC US",6/3/2019,0,87,64
USC00311677,"CHAPEL HILL 2 W, NC US",6/4/2019,0,81,57
USC00311677,"CHAPEL HILL 2 W, NC US",6/5/2019,0,83,61
USC00311677,"CHAPEL HILL 2 W, NC US",6/6/2019,0,87,69
USC00311677,"CHAPEL HILL 2 W, NC US",6/7/2019,0,89,69
USC00311677,"CHAPEL HILL 2 W, NC US",6/8/2019,1.6,78,70
USC00311677,"CHAPEL HILL 2 W, NC US",6/9/2019,1.01,80,67
USC00311677,"CHAPEL HILL 2 W, NC US",6/10/2019,0.48,78,69
USC00311677,"CHAPEL HILL 2 W, NC US",6/11/2019,0,86,66
USC00311677,"CHAPEL HILL 2 W, NC US",6/13/2019,0.69,71,59
USC00311677,"CHAPEL HILL 2 W, NC US",6/14/2019,0.01,78,54
USC00311677,"CHAPEL HILL 2 W, NC US",6/16/2019,0,83,55
USC00311677,"CHAPEL HILL 2 W, NC US",6/17/2019,0,88,68
USC00311677,"CHAPEL HILL 2 W, NC US",6/18/2019,0,92,71
USC00311677,"CHAPEL HILL 2 W, NC US",6/19/2019,0.69,89,70
USC00311677,"CHAPEL HILL 2 W, NC US",6/20/2019,0,87,71
USC00311677,"CHAPEL HILL 2 W, NC US",6/21/2019,0.2,91,65
USC00311677,"CHAPEL HILL 2 W, NC US",6/22/2019,0.03,84,65
USC00311677,"CHAPEL HILL 2 W, NC US",6/23/2019,0,83,68
USC00311677,"CHAPEL HILL 2 W, NC US",6/24/2019,0,80,67
USC00311677,"CHAPEL HILL 2 W, NC US",6/25/2019,0.02,93,69
USC00311677,"CHAPEL HILL 2 W, NC US",6/26/2019,0,88,69
USC00311677,"CHAPEL HILL 2 W, NC US",6/27/2019,0,87,68
USC00311677,"CHAPEL HILL 2 W, NC US",6/28/2019,0,91,69
USC00311677,"CHAPEL HILL 2 W, NC US",6/29/2019,0.06,92,69
USC00311677,"CHAPEL HILL 2 W, NC US",6/30/2019,0,93,69
USC00311677,"CHAPEL HILL 2 W, NC US",7/1/2019,0,94,71
USC00311677,"CHAPEL HILL 2 W, NC US",7/2/2019,0,89,67
USC00311677,"CHAPEL HILL 2 W, NC US",7/3/2019,0,94,70
USC00311677,"CHAPEL HILL 2 W, NC US",7/4/2019,0,95,73
USC00311677,"CHAPEL HILL 2 W, NC US",7/5/2019,0.05,95,70
USC00311677,"CHAPEL HILL 2 W, NC US",7/6/2019,0,91,70
USC00311677,"CHAPEL HILL 2 W, NC US",7/7/2019,0,93,74
USC00311677,"CHAPEL HILL 2 W, NC US",7/8/2019,0.21,94,74
USC00311677,"CHAPEL HILL 2 W, NC US",7/9/2019,0,92,73
USC00311677,"CHAPEL HILL 2 W, NC US",7/10/2019,0,84,72
USC00311677,"CHAPEL HILL 2 W, NC US",7/11/2019,0,90,72
USC00311677,"CHAPEL HILL 2 W, NC US",7/12/2019,0.51,94,72
USC00311677,"CHAPEL HILL 2 W, NC US",7/13/2019,0,92,73
USC00311677,"CHAPEL HILL 2 W, NC US",7/14/2019,0,96,73
USC00311677,"CHAPEL HILL 2 W, NC US",7/15/2019,0,95,71
