Name,Year,GroupedName,Notes
EwA at Fresh Pond,2019,Grouped: EwA,
EwA at the Fells,2019,Grouped: EwA,
EwA at Fresh Pond,2020,Grouped: EwA,
EwA at the Fells,2020,Grouped: EwA,
EwA at Fresh Pond,2021,Grouped: EwA,
EwA at the Fells,2021,Grouped: EwA,
Litzsinger Road Ecology Center Woodland Site A,2019,Grouped: Litzsinger Road,
Litzsinger Road Ecology Center Woodland Site B,2019,Grouped: Litzsinger Road,
Lesser Slave Lake Bird Observatory,2021,Grouped: Lesser Slave Lake,
Boreal Centre for Bird Conservation,2021,Grouped: Lesser Slave Lake,
Acadia NP - Alder,2018,Grouped: Acadia NP,
Acadia NP - Sundew,2018,Grouped: Acadia NP,
Acadia NP - Alder,2019,Grouped: Acadia NP,
Acadia NP - Sundew,2019,Grouped: Acadia NP,
Acadia NP - Alder,2020,Grouped: Acadia NP,
Acadia NP - Sundew,2020,Grouped: Acadia NP,
Acadia NP - Alder,2021,Grouped: Acadia NP,
Acadia NP - Sundew,2021,Grouped: Acadia NP,
Crossways Survey,2019,Grouped: Crossways/Camp Woods,
Camp Woods Survey,2019,Grouped: Crossways/Camp Woods,
Crossways Survey,2020,Grouped: Crossways/Camp Woods,
Camp Woods Survey,2020,Grouped: Crossways/Camp Woods,
Walker Nature Center,2019,Grouped: Walker/Scott's Run VA,
Scott's Run Nature Preserve,2019,Grouped: Walker/Scott's Run VA,
Walker Nature Center,2021,Grouped: Walker/Scott's Run VA,
Scott's Run Nature Preserve,2021,Grouped: Walker/Scott's Run VA,
