"","arthID","PhotoURL","LocalDate","SiteFK","Name","Code","year","month","day","Address","Number.to.Delete","url"
"1",62748,"62748.jpeg",2019-06-21,106,"Sault College","EHO",2019,6,21,"https://caterpillarscount.unc.edu/images/arthropods/62748.jpeg",-2,"https://www.inaturalist.org/observations?field:Site%20Name=Sault College&field:Plant%20Code=EHO&day=21&month=6&year=2019"
"2",62813,"62813.jpeg",2019-06-21,106,"Sault College","EHE",2019,6,21,"https://caterpillarscount.unc.edu/images/arthropods/62813.jpeg",-3,"https://www.inaturalist.org/observations?field:Site%20Name=Sault College&field:Plant%20Code=EHE&day=21&month=6&year=2019"
"3",64104,"64104.jpeg",2019-06-26,106,"Sault College","EHL",2019,6,26,"https://caterpillarscount.unc.edu/images/arthropods/64104.jpeg",-4,"https://www.inaturalist.org/observations?field:Site%20Name=Sault College&field:Plant%20Code=EHL&day=26&month=6&year=2019"
"4",7716,"7716.jpeg",2018-06-22,78,"NC Botanical Garden","DCB",2018,6,22,"https://caterpillarscount.unc.edu/images/arthropods/7716.jpeg",-2,"https://www.inaturalist.org/observations?field:Site%20Name=NC Botanical Garden&field:Plant%20Code=DCB&day=22&month=6&year=2018"
"5",42492,"42492.jpeg",2018-10-25,66,"CawCaw Interpretive Center","CXS",2018,10,25,"https://caterpillarscount.unc.edu/images/arthropods/42492.jpeg",-2,"https://www.inaturalist.org/observations?field:Site%20Name=CawCaw Interpretive Center&field:Plant%20Code=CXS&day=25&month=10&year=2018"
"6",63558,"63558.jpeg",2019-06-25,183,"Camp Woods Survey","ELB",2019,6,25,"https://caterpillarscount.unc.edu/images/arthropods/63558.jpeg",-2,"https://www.inaturalist.org/observations?field:Site%20Name=Camp Woods Survey&field:Plant%20Code=ELB&day=25&month=6&year=2019"
"7",64796,"64796.jpeg",2019-06-28,184,"University of Pittsburgh","EVB",2019,6,28,"https://caterpillarscount.unc.edu/images/arthropods/64796.jpeg",-2,"https://www.inaturalist.org/observations?field:Site%20Name=University of Pittsburgh&field:Plant%20Code=EVB&day=28&month=6&year=2019"
"8",43302,"43302.jpeg",2019-04-01,158,"Columbus Botanical Garden","AQY",2019,4,1,"https://caterpillarscount.unc.edu/images/arthropods/43302.jpeg",-2,"https://www.inaturalist.org/observations?field:Site%20Name=Columbus Botanical Garden&field:Plant%20Code=AQY&day=1&month=4&year=2019"
"9",43702,"43702.jpeg",2019-04-17,60,"UNC Chapel Hill Campus","BXH",2019,4,17,"https://caterpillarscount.unc.edu/images/arthropods/43702.jpeg",-2,"https://www.inaturalist.org/observations?field:Site%20Name=UNC Chapel Hill Campus&field:Plant%20Code=BXH&day=17&month=4&year=2019"
"10",43721,"43721.jpeg",2019-04-17,60,"UNC Chapel Hill Campus","BYM",2019,4,17,"https://caterpillarscount.unc.edu/images/arthropods/43721.jpeg",-2,"https://www.inaturalist.org/observations?field:Site%20Name=UNC Chapel Hill Campus&field:Plant%20Code=BYM&day=17&month=4&year=2019"
