"Name","Year","matedate1","matedate2"
"Sault College",2019,196,182
"Acadia NP - Alder",2019,203,152
"Acadia NP - Sundew",2019,203,152
"Beare Swamp in Rouge Park",2019,142,135
"RVCC",2019,142,135
"Lakeside Lab",2019,142,142
"Potter Park Zoo",2019,166,142
"Stage Nature Center",2019,142,142
"EwA at the Fells",2019,142,142
"EwA at Habitat",2019,142,142
"EwA at Fresh Pond",2019,142,142
"EwA at the Growing Center",2019,142,142
"Mt. Auburn Cemetery",2019,142,142
"Mass Audubon's Boston Nature Center",2019,142,142
"Mass Audubon's Broadmoor Wildlife Sanctuary",2019,142,142
"Museum of American Bird Art",2019,152,152
"Linda Loring Nature Foundation",2019,142,112
"University of Pittsburgh",2019,135,128
"Crossways Survey",2019,142,128
"Camp Woods Survey",2019,142,128
"Schuylkill Center",2019,135,128
"Oregon Ridge Nature Center",2019,135,135
"Riverbend Park",2019,135,135
"Scott's Run Nature Preserve",2019,135,135
"Walker Nature Center",2019,135,135
"Georgetown",2019,135,135
"Litzsinger Road Ecology Center Woodland Site A",2019,142,135
"Litzsinger Road Ecology Center Woodland Site B",2019,142,135
"Caledon State Park",2019,173,112
"Marin Municipal Water District",2019,152,152
"Currituck Banks Reserve",2019,135,135
"Appalachian State University",2019,142,121
"Ijams Nature Center",2019,121,121
"Seven Islands State Birding Park",2019,121,121
"UNC Chapel Hill Campus",2019,142,142
"NC Botanical Garden",2019,142,142
"Prairie Ridge Ecostation",2019,135,128
"NC State University",2019,135,128
"Hemlock Bluffs",2019,135,128
"Forest Meadow (TNCA)",2019,135,135
"Riverbanks",2019,135,105
"Fernbank Forest",2019,128,128
"Columbus Botanical Garden",2019,112,81
