"speciesCode"	"county"	"Year"	"julianday"	"freq"
"reevir1"	"US-NC-183"	2018	1	0
"reevir1"	"US-NC-183"	2018	8	0
"reevir1"	"US-NC-183"	2018	15	0
"reevir1"	"US-NC-183"	2018	22	0
"reevir1"	"US-NC-183"	2018	32	0
"reevir1"	"US-NC-183"	2018	39	0
"reevir1"	"US-NC-183"	2018	46	0
"reevir1"	"US-NC-183"	2018	53	0
"reevir1"	"US-NC-183"	2018	60	0
"reevir1"	"US-NC-183"	2018	67	0
"reevir1"	"US-NC-183"	2018	74	0
"reevir1"	"US-NC-183"	2018	81	0
"reevir1"	"US-NC-183"	2018	91	0
"reevir1"	"US-NC-183"	2018	98	0.036697247706422
"reevir1"	"US-NC-183"	2018	105	0.155963302752294
"reevir1"	"US-NC-183"	2018	112	0.323076923076923
"reevir1"	"US-NC-183"	2018	121	0.267241379310345
"reevir1"	"US-NC-183"	2018	128	0.348101265822785
"reevir1"	"US-NC-183"	2018	135	0.25
"reevir1"	"US-NC-183"	2018	142	0.184713375796178
"reevir1"	"US-NC-183"	2018	152	0.207792207792208
"reevir1"	"US-NC-183"	2018	159	0.210884353741497
"reevir1"	"US-NC-183"	2018	166	0.261194029850746
"reevir1"	"US-NC-183"	2018	173	0.103703703703704
"reevir1"	"US-NC-183"	2018	182	0.153846153846154
"reevir1"	"US-NC-183"	2018	189	0.119047619047619
"reevir1"	"US-NC-183"	2018	196	0.154929577464789
"reevir1"	"US-NC-183"	2018	203	0.116788321167883
"reevir1"	"US-NC-183"	2018	213	0.0232558139534884
"reevir1"	"US-NC-183"	2018	220	0.139784946236559
"reevir1"	"US-NC-183"	2018	227	0.115107913669065
"reevir1"	"US-NC-183"	2018	234	0.140776699029126
"reevir1"	"US-NC-183"	2018	244	0.133858267716535
"reevir1"	"US-NC-183"	2018	251	0.128048780487805
"reevir1"	"US-NC-183"	2018	258	0.0899470899470899
"reevir1"	"US-NC-183"	2018	265	0.204081632653061
"reevir1"	"US-NC-183"	2018	274	0.165605095541401
"reevir1"	"US-NC-183"	2018	281	0.0602409638554217
"reevir1"	"US-NC-183"	2018	288	0.0542168674698795
"reevir1"	"US-NC-183"	2018	295	0
"reevir1"	"US-NC-183"	2018	305	0.00641025641025641
"reevir1"	"US-NC-183"	2018	312	0
"reevir1"	"US-NC-183"	2018	319	0
"reevir1"	"US-NC-183"	2018	326	0
"reevir1"	"US-NC-183"	2018	335	0
"reevir1"	"US-NC-183"	2018	342	0
"reevir1"	"US-NC-183"	2018	349	0
