"Name","Region","Latitude","Longitude","nSurvs","nDates","nCat","pctCat","nArth","nLgArth","nArthsPerSurvey","nLgArthsPerSurvey","pctSurvsLgArths","nPhoto","pctPhoto","county","LatestWeekWithFreq0","WeekOfPeakFreq","notes","ebirdCounty","matedate"
"Sault College","ON",46.53449905,-84.30692999,508,12,100,0.197,939,122,1.848425197,0.24015748,0.213,93,0.099,"ontario,algoma","5/1/2019","6/8/2019","","CA-ON-AL",196
"Acadia NP - Alder","ME",44.3424,-68.0528,199,10,11,0.055,104,11,0.522613065,0.055276382,0.055,0,0,"maine,hancock","4/22/2019","6/15/2019","although the 2 weeks previous are pretty close to the peak on 6/15","US-ME-009",203
"Acadia NP - Sundew","ME",44.3393,-68.0657,159,8,21,0.132,199,27,1.251572327,0.169811321,0.164,0,0,"maine,hancock","4/22/2019","6/15/2019","although the 2 weeks previous are pretty close to the peak on 6/15","US-ME-009",203
"Beare Swamp in Rouge Park","ON",43.82599943,-79.15401773,263,10,8,0.03,135,6,0.513307985,0.022813688,0.023,54,0.4,"ontario,toronto","4/22/2019","5/22/2019","","CA-ON-TO",142
"RVCC","ON",43.81900253,-79.17087835,495,14,31,0.063,644,28,1.301010101,0.056565657,0.057,143,0.222,"ontario,toronto","4/22/2019","5/22/2019","","CA-ON-TO",142
"Lakeside Lab","IA",43.38007699,-95.18480409,197,5,3,0.015,234,9,1.187817259,0.045685279,0.041,16,0.068,"iowa,dickinson","5/1/2019","5/22/2019","few surveys","US-IA-059",142
"Potter Park Zoo","MI",42.71799853,-84.52759203,104,7,35,0.337,1528,243,14.69230769,2.336538462,0.433,22,0.014,"michigan,ingham","4/22/2019","5/15/2019","","US-MI-065",166
"Stage Nature Center","MI",42.61602548,-83.19144908,332,27,24,0.072,1012,123,3.048192771,0.370481928,0.271,20,0.02,"michigan,oakland","4/22/2019","5/22/2019","","US-MI-125",142
"EwA at the Fells","MA",42.44524803,-71.11038208,101,10,59,0.584,450,153,4.455445545,1.514851485,0.564,123,0.273,"massachusetts,middlesex","4/22/2019","5/15/2019","","US-MA-017",142
"EwA at Habitat","MA",42.40386841,-71.18582336,70,7,35,0.5,275,57,3.928571429,0.814285714,0.686,65,0.236,"massachusetts,middlesex","4/22/2019","5/15/2019","","US-MA-017",142
"EwA at Fresh Pond","MA",42.387327,-71.14509745,67,9,3,0.045,133,21,1.985074627,0.313432836,0.209,43,0.323,"massachusetts,middlesex","4/22/2019","5/15/2019","","US-MA-017",142
"EwA at the Growing Center","MA",42.38341932,-71.09800022,51,5,0,0,57,12,1.117647059,0.235294118,0.235,17,0.298,"massachusetts,middlesex","4/22/2019","5/15/2019","","US-MA-017",142
"Mt. Auburn Cemetery","MA",42.37140748,-71.14532217,58,11,4,0.069,39,2,0.672413793,0.034482759,0.034,14,0.359,"massachusetts,middlesex","4/22/2019","5/15/2019","","US-MA-017",142
"Kalamazoo Nature Center","MI",42.3604,-85.5836,91,4,0,0,623,47,6.846153846,0.516483516,0.451,4,0.006,"michigan,kalamazoo","4/22/2019","5/15/2019","","US-MI-077",142
"Mass Audubon's Boston Nature Center","MA",42.28600403,-71.09968994,298,13,11,0.037,468,22,1.570469799,0.073825503,0.074,122,0.261,"massachusetts,suffolk","4/22/2019","5/22/2019","","US-MA-025",142
"Mass Audubon's Broadmoor Wildlife Sanctuary","MA",42.25669936,-71.33891702,178,7,40,0.225,121,4,0.679775281,0.02247191,0.022,25,0.207,"massachusetts,middlesex","4/22/2019","5/15/2019","","US-MA-017",142
