"Name"	"Region"	"Latitude"	"Longitude"	"nSurvs"	"nDates"	"nCat"	"pctCat"	"nArth"	"nLgArth"	"nArthsPerSurvey"	"nLgArthsPerSurvey"	"pctSurvsLgArths"	"nPhoto"	"pctPhoto"	"county"
"Sault College"	"ON"	46.534499045766	-84.30692999308	508	12	100	0.197	939	122	1.84842519685039	0.240157480314961	0.213	93	0.099	NA
"Acadia NP - Alder"	"ME"	44.3424	-68.0528	199	10	11	0.055	104	11	0.522613065326633	0.0552763819095477	0.055	0	0	NA
"Acadia NP - Sundew"	"ME"	44.3393	-68.0657	159	8	21	0.132	199	27	1.25157232704403	0.169811320754717	0.164	0	0	NA
"Beare Swamp in Rouge Park"	"ON"	43.825999432243	-79.154017733419	263	10	8	0.03	135	6	0.513307984790874	0.0228136882129278	0.023	54	0.4	NA
"RVCC"	"ON"	43.81900252918	-79.170878351185	495	14	31	0.063	644	28	1.3010101010101	0.0565656565656566	0.057	143	0.222	NA
"Lakeside Lab"	"IA"	43.380076993568	-95.184804093676	197	5	3	0.015	234	9	1.18781725888325	0.0456852791878173	0.041	16	0.068	"iowa,dickinson"
"Potter Park Zoo"	"MI"	42.717998528105	-84.527592028662	104	7	35	0.337	1528	243	14.6923076923077	2.33653846153846	0.433	22	0.014	"michigan,ingham"
"Stage Nature Center"	"MI"	42.616025477569	-83.191449083429	332	27	24	0.072	1012	123	3.04819277108434	0.370481927710843	0.271	20	0.02	"michigan,oakland"
"EwA at the Fells"	"MA"	42.445248029672	-71.110382080078	101	10	59	0.584	450	153	4.45544554455446	1.51485148514851	0.564	123	0.273	"massachusetts,middlesex"
"EwA at Habitat"	"MA"	42.403868405641	-71.185823360856	70	7	35	0.5	275	57	3.92857142857143	0.814285714285714	0.686	65	0.236	"massachusetts,middlesex"
"EwA at Fresh Pond"	"MA"	42.387327000031	-71.145097454995	67	9	3	0.045	133	21	1.98507462686567	0.313432835820896	0.209	43	0.323	"massachusetts,middlesex"
"EwA at the Growing Center"	"MA"	42.383419320081	-71.098000215491	51	5	0	0	57	12	1.11764705882353	0.235294117647059	0.235	17	0.298	"massachusetts,middlesex"
"Mt. Auburn Cemetery"	"MA"	42.37140748221	-71.14532216979	58	11	4	0.069	39	2	0.672413793103448	0.0344827586206897	0.034	14	0.359	"massachusetts,middlesex"
"Kalamazoo Nature Center"	"MI"	42.3604	-85.5836	91	4	0	0	623	47	6.84615384615385	0.516483516483517	0.451	4	0.006	"michigan,kalamazoo"
"Mass Audubon's Boston Nature Center"	"MA"	42.286004028739	-71.099689938102	298	13	11	0.037	468	22	1.57046979865772	0.0738255033557047	0.074	122	0.261	"massachusetts,suffolk"
"Mass Audubon's Broadmoor Wildlife Sanctuary"	"MA"	42.256699363244	-71.338917016983	178	7	40	0.225	121	4	0.679775280898876	0.0224719101123595	0.022	25	0.207	"massachusetts,middlesex"
"Museum of American Bird Art"	"MA"	42.163219926543	-71.139992349488	226	11	46	0.204	449	26	1.98672566371681	0.115044247787611	0.111	9	0.02	"massachusetts,norfolk"
"Linda Loring Nature Foundation"	"MA"	41.291998909614	-70.170192718506	340	13	10	0.029	346	37	1.01764705882353	0.108823529411765	0.068	12	0.035	NA
"University of Pittsburgh"	"PA"	40.446057779979	-79.953028498109	409	30	2	0.005	315	41	0.770171149144254	0.100244498777506	0.061	33	0.105	"pennsylvania,allegheny"
"Crossways Survey"	"PA"	40.174246114537	-75.267440828078	195	33	12	0.062	386	47	1.97948717948718	0.241025641025641	0.226	28	0.073	"pennsylvania,montgomery"
"Camp Woods Survey"	"PA"	40.156541404112	-75.244872563774	170	20	7	0.041	415	48	2.44117647058824	0.282352941176471	0.171	31	0.075	"pennsylvania,montgomery"
"Schuylkill Center"	"PA"	40.054953538319	-75.249220500715	269	9	14	0.052	1636	739	6.0817843866171	2.74721189591078	0.539	39	0.024	"pennsylvania,philadelphia"
"Oregon Ridge Nature Center"	"MD"	39.488104581379	-76.690374462042	318	13	14	0.044	918	9	2.88679245283019	0.0283018867924528	0.025	57	0.062	"maryland,baltimore"
"Riverbend Park"	"VA"	39.018431674248	-77.246021979731	215	12	49	0.228	699	102	3.25116279069767	0.474418604651163	0.251	13	0.019	"maryland,montgomery"
"Scott’s Run Nature Preserve"	"VA"	38.960295138556	-77.196108988279	85	9	9	0.106	146	14	1.71764705882353	0.164705882352941	0.094	21	0.144	"virginia,fairfax"
"Walker Nature Center"	"VA"	38.925767408682	-77.341531666344	229	15	46	0.201	737	67	3.21834061135371	0.292576419213974	0.266	118	0.16	"virginia,fairfax"
"Georgetown"	"DC"	38.909602349623	-77.07900566587	134	9	4	0.03	542	18	4.04477611940298	0.134328358208955	0.119	9	0.017	"district of columbia,washington"
"Site A"	"MO"	38.624382910368	-90.376199371614	211	24	16	0.076	723	48	3.42654028436019	0.227488151658768	0.199	35	0.048	"missouri,st louis"
"Woodland Site B"	"MO"	38.620014528971	-90.370217536849	133	18	3	0.023	370	7	2.78195488721805	0.0526315789473684	0.045	6	0.016	"missouri,st louis"
"Caledon State Park"	"VA"	38.337043666036	-77.135448978811	59	6	7	0.119	437	16	7.40677966101695	0.271186440677966	0.085	60	0.137	"virginia,king george"
"Marin Municipal Water District"	"CA"	37.961387971888	-122.60038375854	171	9	33	0.193	728	36	4.25730994152047	0.210526315789474	0.205	13	0.018	"california,marin"
"Currituck Banks Reserve"	"NC"	36.38958959672	-75.830780073317	121	12	2	0.017	224	19	1.85123966942149	0.15702479338843	0.157	74	0.33	"north carolina,currituck"
"Appalachian State University"	"NC"	36.214363228894	-81.672682605992	174	15	43	0.247	879	49	5.05172413793103	0.281609195402299	0.224	7	0.008	"north carolina,watauga"
"Ijams Nature Center"	"TN"	35.957561221232	-83.866635560989	129	18	5	0.039	334	12	2.58914728682171	0.0930232558139535	0.085	39	0.117	"tennessee,knox"
"Seven Islands State Birding Park"	"TN"	35.947412755256	-83.689454197884	100	10	13	0.13	437	42	4.37	0.42	0.38	19	0.043	"tennessee,knox"
"UNC Chapel Hill Campus"	"NC"	35.909876654033	-79.049644020807	2048	25	47	0.023	4381	177	2.13916015625	0.08642578125	0.069	136	0.031	"north carolina,orange"
"NC Botanical Garden"	"NC"	35.8994	-79.0339	1673	21	156	0.093	2164	179	1.2934847579199	0.106993424985057	0.103	231	0.107	"north carolina,orange"
"Discovery Center at Murfree Spring"	"TN"	35.83823893534	-86.387142745541	51	7	0	0	206	18	4.03921568627451	0.352941176470588	0.275	0	0	"tennessee,rutherford"
"Prairie Ridge Ecostation"	"NC"	35.8117	-78.7139	2481	21	413	0.166	5654	630	2.27891979040709	0.253929866989117	0.226	643	0.114	"north carolina,wake"
"NC State University"	"NC"	35.781071715192	-78.67546810402	50	5	2	0.04	74	6	1.48	0.12	0.1	4	0.054	"north carolina,wake"
"Hemlock Bluffs"	"NC"	35.724098087769	-78.779309191044	270	10	4	0.015	235	43	0.87037037037037	0.159259259259259	0.152	16	0.068	"north carolina,wake"
"Great Smoky Mountains Institute at Tremont"	"TN"	35.639979235465	-83.688772827533	89	4	8	0.09	102	24	1.14606741573034	0.269662921348315	0.27	39	0.382	"tennessee,blount"
"East Carolina University"	"NC"	35.606393363404	-77.366304214415	57	5	0	0	45	3	0.789473684210526	0.0526315789473684	0.053	0	0	"north carolina,pitt"
"Forest Meadow (TNCA)"	"NC"	35.498639751224	-82.607685261996	49	11	4	0.082	105	10	2.14285714285714	0.204081632653061	0.204	11	0.105	"north carolina,buncombe"
"Riverbanks"	"SC"	34.008771519018	-81.07626914978	362	15	5	0.014	337	36	0.930939226519337	0.0994475138121547	0.097	0	0	"south carolina,richland"
"Fernbank Forest"	"GA"	33.77615094252	-84.321870803833	250	10	14	0.056	438	27	1.752	0.108	0.108	13	0.03	"georgia,de kalb"
"Columbus Botanical Garden"	"GA"	32.533984721365	-84.938069259433	151	7	12	0.079	249	16	1.64900662251656	0.105960264900662	0.099	17	0.068	"georgia,muscogee"
