"Name","Year","Region","cell","Latitude.y","Longitude.y","Start","End"
"UNC Chapel Hill Campus",2018,"NC",703,35.909876654033,-79.049644020807,137,207
"Prairie Ridge Ecostation",2018,"NC",703,35.8117,-78.7139,137,207
"NC Botanical Garden",2018,"NC",703,35.8994,-79.0339,137,207
"Stage Nature Center",2018,"MI",592,42.616025477569,-83.191449083429,144,179
"Mass Audubon's Broadmoor Wildlife Sanctuary",2018,"MA",595,42.256699363244,-71.338917016983,158,207
"Museum of American Bird Art",2018,"MA",595,42.163219926543,-71.139992349488,151,200
"Mass Audubon's Boston Nature Center",2018,"MA",595,42.286004028739,-71.099689938102,165,207
"Prairie Ridge Ecostation",2015,"NC",703,35.8117,-78.7139,137,207
"NC Botanical Garden",2015,"NC",703,35.8994,-79.0339,137,200
"NC Botanical Garden",2016,"NC",703,35.8994,-79.0339,137,207
"Prairie Ridge Ecostation",2016,"NC",703,35.8117,-78.7139,137,207
"Prairie Ridge Ecostation",2017,"NC",703,35.8117,-78.7139,137,200
"NC Botanical Garden",2017,"NC",703,35.8994,-79.0339,137,200
"RVCC",2018,"ON",593,43.81900252918,-79.170878351185,158,207
"Coweeta - BS",2015,"NC",702,35.025,-83.458333,137,200
"Coweeta - BB",2015,"NC",702,35.041667,-83.475,137,200
"Coweeta - BS",2016,"NC",702,35.025,-83.458333,137,193
"Coweeta - BB",2016,"NC",702,35.041667,-83.475,137,200
"Coweeta - BB",2017,"NC",702,35.041667,-83.475,144,193
"Coweeta - BS",2017,"NC",702,35.025,-83.458333,137,193
"Coweeta - BS",2018,"NC",702,35.025,-83.458333,137,193
"Coweeta - BB",2018,"NC",702,35.041667,-83.475,137,186
"NC Botanical Garden",2019,"NC",703,35.8994,-79.0339,137,207
"Prairie Ridge Ecostation",2019,"NC",703,35.8117,-78.7139,137,207
"UNC Chapel Hill Campus",2019,"NC",703,35.909876654033,-79.049644020807,137,207
"Fernbank Forest",2019,"GA",729,33.77615094252,-84.321870803833,137,207
"Museum of American Bird Art",2019,"MA",595,42.163219926543,-71.139992349488,158,200
"Stage Nature Center",2019,"MI",592,42.616025477569,-83.191449083429,144,179
"Mass Audubon's Broadmoor Wildlife Sanctuary",2019,"MA",595,42.256699363244,-71.338917016983,137,179
"RVCC",2019,"ON",593,43.81900252918,-79.170878351185,158,207
"Beare Swamp in Rouge Park",2019,"ON",593,43.825999432243,-79.154017733419,158,207
"Mass Audubon's Boston Nature Center",2019,"MA",595,42.286004028739,-71.099689938102,144,207
