"Name"	"Region"	"Latitude"	"Longitude"	"nRecs"	"nDates"	"preArrival"	"peakArrival"	"arrival"	"hatching"	"fledging"	"gdd600jd"	"leafIndex"
"Sault College"	"ON"	46.53449905	-84.30692999	400	10	124	162	143	178	189	194	127
"RVCC"	"ON"	43.81900253	-79.17087835	252	8	115	145	130	165	176	184	113
"Stage Nature Center"	"MI"	42.61602548	-83.19144908	336	25	115	145	130	165	176	174	116
"Mt. Auburn Cemetery"	"MA"	42.37140748	-71.14532217	52	11	108	138	123	158	169	180	101
"Kalamazoo Nature Center"	"MI"	42.3604	-85.5836	362	13	101	138	120	155	166	177	113
"Mass Audubon's Boston Nature Center"	"MA"	42.28600403	-71.09968994	228	9	101	145	123	158	169	180	101
"Mass Audubon's Broadmoor Wildlife Sanctuary"	"MA"	42.25669936	-71.33891702	267	9	108	138	123	158	169	180	103
"Museum of American Bird Art"	"MA"	42.16321993	-71.13999235	429	15	115	145	130	165	176	181	102
"Walker Nature Center"	"VA"	38.92576741	-77.34153167	144	15	101	131	116	151	162	152	67
"Georgetown"	"DC"	38.90960235	-77.07900567	370	14	101	138	120	155	166	151	54
"Currituck Banks Reserve"	"NC"	36.3895896	-75.83078007	130	13	108	131	120	155	166	160	50
"Pritchard Park (Chapel Hill Public Library)"	"NC"	35.93091423	-79.03695029	59	7	84	131	108	143	154	138	47
"Piedmont Wildlife Center"	"NC"	35.91706349	-78.98191074	71	4	84	124	104	139	150	138	47
"UNC Chapel Hill Campus"	"NC"	35.90987665	-79.04964402	1715	22	84	131	108	143	154	138	47
"NC Botanical Garden"	"NC"	35.8994	-79.0339	1841	23	84	131	108	143	154	138	47
"Prairie Ridge Ecostation"	"NC"	35.8117	-78.7139	2521	21	84	115	100	135	146	136	46
"Great Smoky Mountains Institute at Tremont"	"TN"	35.63997924	-83.68877283	329	9	94	138	116	151	162	158	47
"CawCaw Interpretive Center"	"SC"	32.78225207	-80.1930971	576	18	77	124	100	135	146	115	38
