"common_name"	"genus"	"subfamily"	"family"	"superfamily"	"ITIS_id"
"Hoary Edge"	"Achalarus"	"Eudaminae"	"Hesperiidae"	"Hesperioidea"	"706794"
"Golden Banded-Skipper"	"Autochton"	"Eudaminae"	"Hesperiidae"	"Hesperioidea"	"706805"
"Silver-spotted Skipper"	"Epargyreus"	"Eudaminae"	"Hesperiidae"	"Hesperioidea"	"117282"
"Silver-Spotted Skipper"	"Epargyreus"	"Eudaminae"	"Hesperiidae"	"Hesperioidea"	"117282"
"Confused Cloudywing"	"Thorybes"	"Eudaminae"	"Hesperiidae"	"Hesperioidea"	"706830"
"Northern Cloudywing"	"Thorybes"	"Eudaminae"	"Hesperiidae"	"Hesperioidea"	"706834"
"Southern Cloudywing"	"Thorybes"	"Eudaminae"	"Hesperiidae"	"Hesperioidea"	"706829"
"Dorantes Longtail"	"Urbanus"	"Eudaminae"	"Hesperiidae"	"Hesperioidea"	"706838"
"Long-tailed Skipper"	"Urbanus"	"Eudaminae"	"Hesperiidae"	"Hesperioidea"	"117290"
"Carolina Roadside-skipper"	"Amblyscirtes"	"Hesperiinae"	"Hesperiidae"	"Hesperioidea"	"706569"
"Carolina Roadside-Skipper"	"Amblyscirtes"	"Hesperiinae"	"Hesperiidae"	"Hesperioidea"	"706569"
"Common Roadside-skipper"	"Amblyscirtes"	"Hesperiinae"	"Hesperiidae"	"Hesperioidea"	"706586"
"Common Roadside-Skipper"	"Amblyscirtes"	"Hesperiinae"	"Hesperiidae"	"Hesperioidea"	"706586"
"Dusky Roadside-Skipper"	"Amblyscirtes"	"Hesperiinae"	"Hesperiidae"	"Hesperioidea"	"706567"
"Lace-winged Roadside-skipper"	"Amblyscirtes"	"Hesperiinae"	"Hesperiidae"	"Hesperioidea"	"706566"
"Lace-winged Roadside-Skipper"	"Amblyscirtes"	"Hesperiinae"	"Hesperiidae"	"Hesperioidea"	"706566"
"Pepper and Salt Skipper"	"Amblyscirtes"	"Hesperiinae"	"Hesperiidae"	"Hesperioidea"	"706576"
