scientific_name	genus	tribe	subfamily	family	superfamily	ITIS_id	hairy	spiny	leafroll	silktent	unpalatable	aposematic	social	aggregate 	iNat_taxon_link	notes
Abia americana	Abia	NA	NA	Cimbicidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/461224-Abia-americana	
Abia lonicerae	Abia	NA	NA	Cimbicidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/495047-Abia-lonicerae	
Aglaostigma semiluteum	Aglaostigma	Tenthredopsini	Tenthredininae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/493836-Aglaostigma-semiluteum	
Allantus nigritibialis	Allantus	NA	Allantinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/495074-Allantus-nigritibialis	
Allantus viennensis	Allantus	NA	Allantinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/495075-Allantus-viennensis	
Arge coccinea	Arge	NA	NA	Argidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/326572-Arge-coccinea/browse_photos	
Arge ochropa	Arge	NA	NA	Argidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/496518-Arge-ochropa	
Arge ochropus	Arge	NA	NA	Argidae	Tenthredinoidea	NA	Y	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/447507-Arge-ochropus	
Arge quidia	Arge	NA	NA	Argidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/341896-Arge-quidia	
Arge scapularis	Arge	NA	NA	Argidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/366875-Arge-scapularis	
Atomacera debilis	Atomacera	NA	NA	Argidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/495031-Atomacera-debilis	
Atomacera decepta	Atomacera	NA	NA	Argidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/130013-Atomacera-decepta	
Blennogeneris spissipes	Blennogeneris	Lycaotini	Blennocampinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/467449-Blennogeneris-spissipes	
Caliroa annulipes	Caliroa	Caliroini	Heterarthrinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/503586-Caliroa-annulipes	
Caliroa obsoleta	Caliroa	Caliroini	Heterarthrinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/495084-Caliroa-obsoleta	
Caulocampus acericaulis	Caulocampus	Nematini	Nematinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/495086-Caulocampus-acericaulis	
Ceratulus spectabilis	Ceratulus	Phymatocerini	Blennocampinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/570360-Ceratulus-spectabilis	
Cimbex femoratus	Climbex	NA	NA	Cimbicidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/333695-Cimbex-femoratus/browse_photos	
Cladius brullei	Cladius	NA	Nematinae	Tenthredinidae	Tenthredinoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/795705-Cladius-brullei	
Cladius grandis	Cladius	NA	Nematinae	Tenthredinidae	Tenthredinoidea	NA	Y	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/345781-Cladius-grandis	
