"sci_name"	"genus"	"subfamily"	"family"	"superfamily"	"ITIS_id"
"Aellopos titan"	"Aellopos"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936019
"Cosmopterix pulchrimella"	"Cosmopterix"	"Cosmopteriginae"	"Cosmopterigidae"	"Gelechioidea"	117921
"Euchlaena pectinaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941935
"Eusarca packardaria"	"Eusarca"	"Ennominae"	"Geometridae"	"Geometroidea"	942098
"Pimaphera sparsaria"	"Pimaphera"	"Ennominae"	"Geometridae"	"Geometroidea"	942589
"Protitame virginalis"	"Protitame"	"Ennominae"	"Geometridae"	"Geometroidea"	942635
"Sphacelodes vulneraria"	"Sphacelodes"	"Ennominae"	"Geometridae"	"Geometroidea"	942806
"Nemoria outina"	"Nemoria"	"Geometrinae"	"Geometridae"	"Geometroidea"	942459
"Entephria lagganata"	"Entephria"	"Larentiinae"	"Geometridae"	"Geometroidea"	941873
"Operophtera bruceata"	"Operophtera"	"Larentiinae"	"Geometridae"	"Geometroidea"	117588
"Pasiphila rectangulata"	"Pasiphila"	"Larentiinae"	"Geometridae"	"Geometroidea"	942522
"Cyclophora nanaria"	"Cyclophora"	"Sterrhinae"	"Geometridae"	"Geometroidea"	941775
"Idaea hilliata"	"Idaea"	"Sterrhinae"	"Geometridae"	"Geometroidea"	942278
"Leptostales ferruminaria"	"Leptostales"	"Sterrhinae"	"Geometridae"	"Geometroidea"	942328
"Eublemma recta"	"Eublemma"	"Boletobiinae"	"Erebidae"	"Noctuoidea"	938570
"Catocala abbreviatella"	"Catocala"	"Erebinae"	"Erebidae"	"Noctuoidea"	938063
"Ptichodis vinculum"	"Ptichodis"	"Erebinae"	"Erebidae"	"Noctuoidea"	940079
"Selenisa sueroides"	"Selenisa"	"Erebinae"	"Erebidae"	"Noctuoidea"	940288
"Thysania zenobia"	"Thysania"	"Erebinae"	"Erebidae"	"Noctuoidea"	940595
"Hypena ramstadtii"	"Hypena"	"Hypeninae"	"Erebidae"	"Noctuoidea"	939093
"Hypenodes franclemonti"	"Hypenodes"	"Hypenodinae"	"Erebidae"	"Noctuoidea"	939103
"Paectes nubifera"	"Paectes"	"Euteliinae"	"Euteliidae"	"Noctuoidea"	939739
"Ponometia exigua"	"Ponometia"	"Acontiinae"	"Noctuidae"	"Noctuoidea"	939928
"Bagisara repanda"	"Bagisara"	"Bagisarinae"	"Noctuidae"	"Noctuoidea"	937962
"Raphia frater"	"Raphia"	"Dilobinae"	"Noctuidae"	"Noctuoidea"	188730
"Schinia mitis"	"Schinia"	"Heliothinae"	"Noctuidae"	"Noctuoidea"	940214
"Apamea lintneri"	"Apamea"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	937840
"Apamea quinteri"	"Apamea"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	937850
"Apamea vultuosa"	"Apamea"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	188682
"Dypterygia patina"	"Dypterygia"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	938493
"Euxoa violaris"	"Euxoa"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	938807
"Ipimorpha pleonectusa"	"Ipimorpha"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	188940
"Lacinipolia erecta"	"Lacinipolia"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	939204
"Lithophane scottae"	"Lithophane"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	939391
"Melanchra picta"	"Melanchra"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	117417
"Papaipema insulidens"	"Papaipema"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	939779
"Papaipema nepheleptena"	"Papaipema"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	939788
"Sideridis rosea"	"Sideridis"	"Noctuinae"	"Noctuidae"	"Noctuoidea"	940296
"Sympistis chionanthi"	"Sympistis"	"Oncocnemidinae"	"Noctuidae"	"Noctuoidea"	940394
"Autoplusia egena"	"Autoplusia"	"Plusiinae"	"Noctuidae"	"Noctuoidea"	117376
"Petrophila bifascialis"	"Petrophila"	"Nymphulinae"	"Crambidae"	"Pyraloidea"	117685
"Archips magnoliana"	"Archips"	"Tortricinae"	"Tortricidae"	"Tortricoidea"	117884
"Anisota peigleri"	"Anisota"	"Ceratocampinae"	"Saturniidae"	"Bombycoidea"	936148
"Anisota senatoria"	"Anisota"	"Ceratocampinae"	"Saturniidae"	"Bombycoidea"	936186
"Anisota stigma"	"Anisota"	"Ceratocampinae"	"Saturniidae"	"Bombycoidea"	936154
"Anisota virginiensis"	"Anisota"	"Ceratocampinae"	"Saturniidae"	"Bombycoidea"	936147
"Citheronia regalis"	"Citheronia"	"Ceratocampinae"	"Saturniidae"	"Bombycoidea"	936172
"Citheronia sepulcralis"	"Citheronia"	"Ceratocampinae"	"Saturniidae"	"Bombycoidea"	936171
"Dryocampa rubicunda"	"Dryocampa"	"Ceratocampinae"	"Saturniidae"	"Bombycoidea"	936177
"Eacles imperialis"	"Eacles"	"Ceratocampinae"	"Saturniidae"	"Bombycoidea"	936166
"Sphingicampa bicolor"	"Sphingicampa"	"Ceratocampinae"	"Saturniidae"	"Bombycoidea"	936217
"Sphingicampa bisecta"	"Sphingicampa"	"Ceratocampinae"	"Saturniidae"	"Bombycoidea"	936218
"Automeris io"	"Automeris"	"Hemileucinae"	"Saturniidae"	"Bombycoidea"	936158
"Hemileuca maia"	"Hemileuca"	"Hemileucinae"	"Saturniidae"	"Bombycoidea"	936200
"actias luna"	"Actias"	"Saturniinae"	"Saturniidae"	"Bombycoidea"	936178
"Actias luna"	"Actias"	"Saturniinae"	"Saturniidae"	"Bombycoidea"	936178
"Antheraea polyphemus"	"Antheraea"	"Saturniinae"	"Saturniidae"	"Bombycoidea"	189057
"Callosamia angulifera"	"Callosamia"	"Saturniinae"	"Saturniidae"	"Bombycoidea"	936174
"Callosamia promethea"	"Callosamia"	"Saturniinae"	"Saturniidae"	"Bombycoidea"	936189
"Callosamia securifera"	"Callosamia"	"Saturniinae"	"Saturniidae"	"Bombycoidea"	936173
"Hyalophora cecropia"	"Hyalophora"	"Saturniinae"	"Saturniidae"	"Bombycoidea"	936196
"Amphion floridensis"	"Amphion"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936022
"Darapsa choerilus"	"Darapsa"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936038
"Darapsa myron"	"Darapsa"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936039
"Darapsa versicolor"	"Darapsa"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936040
"Deidamia inscriptum"	"Deidamia"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936041
"Enyo lugubris"	"Enyo"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936045
"Eumorpha achemon"	"Eumorpha"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936056
"Eumorpha fasciatus"	"Eumorpha"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936058
"Eumorpha intermedia"	"Eumorpha"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936059
"Eumorpha pandorus"	"Eumorpha"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936062
"Hemaris diffinis"	"Hemaris"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936068
"Hemaris gracilis"	"Hemaris"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936069
"Hemaris thysbe"	"Hemaris"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	188633
"Hyles lineata"	"Hyles"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936075
"Sphecodina abbottii"	"Sphecodina"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936122
"Xylophanes tersa"	"Xylophanes"	"Macroglossinae"	"Sphingidae"	"Bombycoidea"	936143
"Amorpha juglandis"	"Amorpha"	"Smerinthinae"	"Sphingidae"	"Bombycoidea"	936021
"Pachysphinx modesta"	"Pachysphinx"	"Smerinthinae"	"Sphingidae"	"Bombycoidea"	936104
"Paonias astylus"	"Paonias"	"Smerinthinae"	"Sphingidae"	"Bombycoidea"	936106
"Paonias excaecata"	"Paonias"	"Smerinthinae"	"Sphingidae"	"Bombycoidea"	936107
"Paonias myops"	"Paonias"	"Smerinthinae"	"Sphingidae"	"Bombycoidea"	936108
"Smerinthus jamaicensis"	"Smerinthus"	"Smerinthinae"	"Sphingidae"	"Bombycoidea"	188626
"Agrius cingulata"	"Agrius"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936020
"Ceratomia amyntor"	"Ceratomia"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936028
"Ceratomia catalpae"	"Ceratomia"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936029
"Ceratomia undulosa"	"Ceratomia"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	188619
"Dolba hyloeus"	"Dolba"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936043
"Isoparce cupressi"	"Isoparce"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936079
"Lapara bombycoides"	"Lapara"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936080
"lapara coniferarum"	"Lapara"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936081
"Lapara coniferarum"	"Lapara"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936081
"Lintneria eremitus"	"Lintneria"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936084
"Manduca jasminearum"	"Manduca"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936094
"Manduca quinquemaculatus"	"Manduca"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936098
"Manduca rustica"	"Manduca"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936099
"Manduca sexta"	"Manduca"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936100
"Paratrea plebeja"	"Paratrea"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936109
"Sphinx chersis"	"Sphinx"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936125
"Sphinx drupiferarum"	"Sphinx"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	188624
"Sphinx franckii"	"Sphinx"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	936128
"Sphinx gordius"	"Sphinx"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	188623
"Sphinx kalmiae"	"Sphinx"	"Sphinginae"	"Sphingidae"	"Bombycoidea"	188622
"Prionoxystus macmurtrei"	"Prionoxystus"	"Cossinae"	"Cossidae"	"Cossoidea"	117910
"Prionoxystus robiniae"	"Prionoxystus"	"Cossinae"	"Cossidae"	"Cossoidea"	117911
"Cossula magnifica"	"Cossula"	"Cossulinae"	"Cossidae"	"Cossoidea"	117908
"Drepana arcuata"	"Drepana"	"Drepaninae"	"Drepanidae"	"Drepanoidea"	189065
"Eudeilinia herminiata"	"Eudeilinia"	"Drepaninae"	"Drepanidae"	"Drepanoidea"	189059
"Oreta rosea"	"Oreta"	"Drepaninae"	"Drepanidae"	"Drepanoidea"	189061
"Homaledra sabalella"	"Homaledra"	"Batrachedrinae"	"Batrachedridae"	"Gelechioidea"	118734
"Coleophora laticornella"	"Coleophora"	"Coleophorinae"	"Coleophoridae"	"Gelechioidea"	118728
"Cosmopterix clandestinella"	"Cosmopterix"	"Cosmopteriginae"	"Cosmopterigidae"	"Gelechioidea"	117925
"Cosmopterix clemensella"	"Cosmopterix"	"Cosmopteriginae"	"Cosmopterigidae"	"Gelechioidea"	117941
"Pyroderces rileyi"	"Pyroderces"	"Cosmopteriginae"	"Cosmopterigidae"	"Gelechioidea"	117953
"Aethalura intertexta"	"Aethalura"	"Ennominae"	"Geometridae"	"Geometroidea"	941658
"Alsophila pometaria"	"Alsophila"	"Ennominae"	"Geometridae"	"Geometroidea"	117558
"Anavitrinella pampinaria"	"Anavitrinella"	"Ennominae"	"Geometridae"	"Geometroidea"	189275
"Antepione thisoaria"	"Antepione"	"Ennominae"	"Geometridae"	"Geometroidea"	941678
"Besma endropiaria"	"Besma"	"Ennominae"	"Geometridae"	"Geometroidea"	941704
"Besma quercivoraria"	"Besma"	"Ennominae"	"Geometridae"	"Geometroidea"	189321
"Biston betularia"	"Biston"	"Ennominae"	"Geometridae"	"Geometroidea"	117560
"Cabera erythemaria"	"Cabera"	"Ennominae"	"Geometridae"	"Geometroidea"	189254
"Cabera quadrifasciaria"	"Cabera"	"Ennominae"	"Geometridae"	"Geometroidea"	941710
"Cabera variolaria"	"Cabera"	"Ennominae"	"Geometridae"	"Geometroidea"	189253
"Campaea perlata"	"Campaea"	"Ennominae"	"Geometridae"	"Geometroidea"	189289
"Caripeta angustiorata"	"Caripeta"	"Ennominae"	"Geometridae"	"Geometroidea"	189319
"Caripeta aretaria"	"Caripeta"	"Ennominae"	"Geometridae"	"Geometroidea"	941715
"Caripeta divisata"	"Caripeta"	"Ennominae"	"Geometridae"	"Geometroidea"	189315
"Caripeta piniata"	"Caripeta"	"Ennominae"	"Geometridae"	"Geometroidea"	189318
"Cepphis armataria"	"Cepphis"	"Ennominae"	"Geometridae"	"Geometroidea"	941727
"Cepphis decoloraria"	"Cepphis"	"Ennominae"	"Geometridae"	"Geometroidea"	941728
"Ceratonyx satanaria"	"Ceratonyx"	"Ennominae"	"Geometridae"	"Geometroidea"	941731
"Cleora projecta"	"Cleora"	"Ennominae"	"Geometridae"	"Geometroidea"	941755
"Cleora sublunaria"	"Cleora"	"Ennominae"	"Geometridae"	"Geometroidea"	941756
"Cymatophora approximaria"	"Cymatophora"	"Ennominae"	"Geometridae"	"Geometroidea"	941777
"Digrammia atrofasciata"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941790
"Digrammia continuata"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941795
"Digrammia eremiata"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941801
"Digrammia gnophosaria"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941806
"Digrammia ocellinata"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941818
"Digrammia ordinata"	"Digrammia"	"Ennominae"	"Geometridae"	"Geometroidea"	941819
"Ectropis crepuscularia"	"Ectropis"	"Ennominae"	"Geometridae"	"Geometroidea"	189283
"Ennomos magnaria"	"Ennomos"	"Ennominae"	"Geometridae"	"Geometroidea"	941868
"Ennomos subsignaria"	"Ennomos"	"Ennominae"	"Geometridae"	"Geometroidea"	117566
"Epimecis hortaria"	"Epimecis"	"Ennominae"	"Geometridae"	"Geometroidea"	941888
"Episemasia solitaria"	"Episemasia"	"Ennominae"	"Geometridae"	"Geometroidea"	941898
"Erannis tiliaria"	"Erannis"	"Ennominae"	"Geometridae"	"Geometroidea"	117568
"Erastria coloraria"	"Erastria"	"Ennominae"	"Geometridae"	"Geometroidea"	941899
"Erastria cruentaria"	"Erastria"	"Ennominae"	"Geometridae"	"Geometroidea"	941900
"Euchlaena amoenaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941923
"Euchlaena effecta"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941925
"Euchlaena irraria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941926
"Euchlaena johnsonaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941927
"Euchlaena madusaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941928
"Euchlaena marginaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941930
"Euchlaena milnei"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941931
"Euchlaena muzaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941933
"Euchlaena obtusaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941934
"Euchlaena serrata"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941936
"Euchlaena tigrinaria"	"Euchlaena"	"Ennominae"	"Geometridae"	"Geometroidea"	941938
"Eufidonia convergaria"	"Eufidonia"	"Ennominae"	"Geometridae"	"Geometroidea"	189268
"Eufidonia notataria"	"Eufidonia"	"Ennominae"	"Geometridae"	"Geometroidea"	941941
"Eugonobapta nivosaria"	"Eugonobapta"	"Ennominae"	"Geometridae"	"Geometroidea"	941942
"Eumacaria madopata"	"Eumacaria"	"Ennominae"	"Geometridae"	"Geometroidea"	941950
"Eusarca confusaria"	"Eusarca"	"Ennominae"	"Geometridae"	"Geometroidea"	942089
"Eusarca fundaria"	"Eusarca"	"Ennominae"	"Geometridae"	"Geometroidea"	942093
"Eutrapela clemataria"	"Eutrapela"	"Ennominae"	"Geometridae"	"Geometroidea"	942106
"Exelis pyrolaria"	"Exelis"	"Ennominae"	"Geometridae"	"Geometroidea"	942111
"Glena cognataria"	"Glena"	"Ennominae"	"Geometridae"	"Geometroidea"	942160
"Glena cribrataria"	"Glena"	"Ennominae"	"Geometridae"	"Geometroidea"	942161
"Glena plumosaria"	"Glena"	"Ennominae"	"Geometridae"	"Geometroidea"	942167
"Glenoides texanaria"	"Glenoides"	"Ennominae"	"Geometridae"	"Geometroidea"	942170
"Gueneria similaria"	"Gueneria"	"Ennominae"	"Geometridae"	"Geometroidea"	942173
"Heliomata cycladata"	"Heliomata"	"Ennominae"	"Geometridae"	"Geometroidea"	942176
"Heliomata infulata"	"Heliomata"	"Ennominae"	"Geometridae"	"Geometroidea"	942177
"Hesperumia sulphuraria"	"Hesperumia"	"Ennominae"	"Geometridae"	"Geometroidea"	942186
"Homochlodes disconventa"	"Homochlodes"	"Ennominae"	"Geometridae"	"Geometroidea"	942193
