x	sci_name	genus	subfamily	family	superfamily	ITIS_id
Acleris celiana				Tortricidae		
Acleris flavivittana				Tortricidae		
Acleris maculidorsana				Tortricidae		
Acleris negundana				Tortricidae		
Acleris nigrolinea				Tortricidae		
Acleris nivisellana				Tortricidae		
Acleris placidana				Tortricidae		
Acleris ptychogrammos				Tortricidae		
Acleris robinsoniana				Tortricidae		
Acleris semipurpurana				Tortricidae		
Acleris subnivana				Tortricidae		
Acleris unidentified species	Acleris	NA	NA	Tortricidae	NA	NA
Acleris variana				Tortricidae		
Acrobasis amplexella				Pyralidae		
Acrobasis unidentified species	Acrobasis	NA	NA	Pyralidae	NA	NA
Acrocercops unidentified species	Acrocercops	NA	NA	Gracillariidae	NA	NA
Acrolepiopsis incertella				Acrolepiidae		
Acrolepiopsis leucoscia				Acrolepiidae		
Acrolepiopsis unidentified species	Acrolepiopsis	NA	NA	Acrolepiidae	NA	NA
Acrolophus cressoni				Acrolophidae		
Acrolophus unidentified species	Acrolophus	NA	NA	Acrolophidae	NA	NA
Actrix unidentified species	Actrix	NA	NA	Phycitinae	NA	NA
Adela ridingsella				Adelidae		
Adoxophyes unidentified species	Adoxophyes	NA	NA	Tortricidae	NA	NA
Aethes unidentified species	Aethes	NA	NA	Tortricidae	NA	NA
Agonopterix alstroemeriana				Gelechioidea		
Agonopterix canadensis				Gelechioidea		
Agonopterix clemensella				Gelechioidea		
Agonopterix curvilineella				Gelechioidea		
Agonopterix hyperella				Gelechioidea		
Agonopterix thelmae				Gelechioidea		
Agonopterix unidentified species	Agonopterix	NA	NA	Gelechioidea	NA	NA
Amblyptilia pica				Pterophoridae		
Amolita unidentified species	Amolita	Amolita	Erebinae	Erebidae	Noctuoidea	937037
Amydria clemensella				Acrolophidae		
Amydria unidentified species	Amydria	NA	NA	Acrolophidae	NA	NA
Anacampsis agrimoniella				Gelechiidae		
Anacampsis conclusella				Gelechiidae		
Anacampsis levipedella				Gelechiidae		
Anania coronata complex				Crambidae		
Anania plectilis				Crambidae		
Ancylis nubeculana				Tortricidae		
Ancylis unidentified species	Ancylis	NA	NA	Tortricidae	NA	NA
Anicla unidentified species	Anicla	Anicla	Noctuinae	Noctuidae	Noctuoidea	937042
Anisota unidentified species	Anisota	Anisota	Ceratocampinae	Saturniidae	Bombycoidea	936007
Antaeotricha unidentified species	Antaeotricha	NA	NA	Stenomatinae	NA	NA
Apantesis unidentified species	Apantesis	Apantesis	Arctiinae	Erebidae	Noctuoidea	188652
Aphomia fulminalis				Pyralidae		
Aphomia unidentified species	Aphomia	NA	NA	Pyralidae	NA	NA
Apogeshna stenialis				Crambidae		
Argyresthia alternatella				Yponomeutidae		
Argyresthia oreasella				Yponomeutidae		
Argyresthia subreticulata				Yponomeutidae		
Argyrotaenia hodgesi				Tortricidae		
Argyrotaenia ivana				Tortricidae		
Argyrotaenia pinatubana				Tortricidae		
Aristotelia unidentified species	Aristotelia	Aristotelia	NA	Elaeocarpaceae	NA	896728
Aroga unidentified species	Aroga	NA	NA	Gelechiidae	NA	NA
Ategumia ebulealis				Crambidae		
Autosticha kyotensis				Oecophoridae		
Bactra verutana				Tortricidae		
Bibarrambla allenella				Elachistidae		
Blastobasis unidentified species	Blastobasis	NA	NA	Blastobasidae	NA	NA
Blastodacna unidentified species	Blastodacna	NA	NA	Elachistidae	NA	NA
Brenthia pavonacella				Choreutidae		
Bucculatrix angustata				Bucculatricidae		
Bucculatrix canadensisella				Bucculatricidae		
Bucculatrix coronatella				Bucculatricidae		
Bucculatrix cuneigera				Bucculatricidae		
Bucculatrix luteella				Bucculatricidae		
Bucculatrix montana				Bucculatricidae		
Bucculatrix pomifoliella				Bucculatricidae		
Bucculatrix quinquenotella				Bucculatricidae		
Bucculatrix recognita 				Bucculatricidae		
Caloptilia azaleella				Gracillariidae		
Caloptilia bimaculatella				Gracillariidae		
